County, Sex, Xiang, Q005, Q006, Q031, Q089, Q090, Q091, Q092, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q149, Q150, Q151, Q152, Q153, Q154, Q155, Q156, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q185, Q188, Q189, Q190, Q191, Q192, 
AA,M,1,  7.7 ,  0.0 ,.     ,51.0  ,165   ,55.5  ,20.4  , 84.6 , 73.1 , 73.1 ,.     ,25.3  ,.     , 42.3 ,.     , 84.6 ,12.4  ,12.4  ,.     , 0.00 ,14.31 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  0.0 , 50.0 ,  3.8 , 57.7 ,  0.0 ,  0.0 , 46.2 , 54.7 , 30.8 ,662.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 14.7 , 15   ,336   , 30.6 , 52.6 ,124.6 ,120.9 , 36.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,  4.0 ,  0.0 ,.     ,49.9  ,161   ,52.3  ,20.0  , 72.0 , 60.0 , 60.0 ,.     ,21.1  ,.     , 40.0 ,.     , 68.0 , 9.6  , 9.6  ,.     , 0.00 ,11.12 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 24.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 24.0 , 36.9 , 18.4 ,710.3 , 25.5 ,  0.8 ,  0.0 ,  0.0 ,  1.9 ,  0.0 , 11.1 , 33   ,293   , 19.7 , 56.2 , 99.8 ,113.8 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,  5.9 ,  0.0 ,.     ,50.5  ,163   ,53.9  ,20.2  , 78.3 , 66.5 , 66.5 ,.     ,23.2  ,.     , 41.1 ,.     , 76.3 ,11.0  ,11.0  ,.     , 0.00 ,12.71 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  0.0 , 37.0 ,  1.9 , 28.9 ,  0.0 ,  0.0 , 35.1 , 45.8 , 24.6 ,686.3 , 12.8 ,  0.4 ,  0.0 ,  0.0 ,  0.9 ,  0.0 , 12.9 , 24   ,315   , 25.2 , 54.4 ,112.2 ,117.4 , 18.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,1,  8.3 ,  0.0 ,.     ,47.0  ,155   ,50.2  ,20.7  ,  4.2 ,  0.0 ,.     ,  0.0 ,.     ,30.0  ,.     ,  0.0 ,  4.2 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,583.0 ,  4.7 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.9 , 47   ,327   , 29.1 , 22.5 , 87.0 , 89.5 ,  0.0 ,17.3  ,52.0  ,24.8  ,3.7   ,0.6   ,3.2   ,
AA,F,2, 11.5 ,  0.0 ,.     ,47.0  ,151   ,47.9  ,21.0  ,  3.8 ,  3.8 ,.     ,  3.8 ,.     ,30.0  ,.     ,  0.0 ,  3.8 , 0.1  ,.     , 0.1  , 0.00 , 0.09 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  5.8 ,  2.9 ,548.1 ,  1.7 ,  0.0 ,  0.0 ,  0.0 ,  4.7 ,  0.0 , 11.5 , 48   ,293   , 12.7 , 36.9 , 55.8 ,104.8 ,  0.0 ,17.5  ,47.0  ,22.6  ,3.9   ,0.8   ,3.0   ,
AA,F,3,  9.9 ,  0.0 ,.     ,47.0  ,153   ,49.1  ,20.9  ,  4.0 ,  1.9 ,.     ,  1.9 ,.     ,30.0  ,.     ,  0.0 ,  4.0 , 0.1  ,.     , 0.1  , 0.00 , 0.04 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  2.9 ,  1.4 ,565.6 ,  3.2 ,  0.0 ,  0.0 ,  0.0 ,  2.4 ,  0.0 , 12.2 , 48   ,310   , 20.9 , 29.7 , 71.4 , 97.2 ,  0.0 ,17.4  ,49.5  ,23.7  ,3.8   ,0.7   ,3.1   ,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  7.9 ,  0.0 , 848.1,48.7  ,158   ,51.5  ,20.5  , 41.1 , 34.2 ,.     ,.     ,.     ,.     ,.     ,.     , 40.1 , 5.5  ,.     ,.     , 0.00 , 6.38 ,.     ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.9 ,  0.0 , 19.4 ,  0.9 , 14.4 ,  0.0 ,  0.0 , 18.5 , 24.4 , 13.0 ,625.9 ,  8.0 ,  0.2 ,  0.0 ,  0.0 ,  1.7 ,  0.0 , 12.6 , 36   ,312   , 23.0 , 42.1 , 91.8 ,107.3 ,  9.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,1, 11.5 ,  0.0 ,.     ,48.1  ,163   ,53.1  ,20.1  , 88.5 , 88.5 , 88.5 ,.     ,22.3  ,.     , 65.4 ,.     , 88.5 ,13.8  ,13.8  ,.     , 0.00 ,15.95 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 15.4 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 15.4 ,  8.8 ,  4.4 ,682.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.6 , 79   ,278   , 33.6 , 33.7 , 64.6 ,132.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,2,  0.0 ,  0.0 ,.     ,45.6  ,163   ,55.5  ,20.8  , 87.0 , 82.6 , 82.6 ,.     ,24.2  ,.     , 45.5 ,.     , 82.6 ,11.8  ,11.8  ,.     , 0.00 ,13.64 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 34.8 ,  0.0 ,  0.0 ,  4.3 ,  0.9 , 30.4 , 22.4 , 11.3 ,715.3 ,123.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.7 , 88   ,325   , 25.6 , 27.1 ,134.1 ,111.7 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,3,  5.8 ,  0.0 ,.     ,46.9  ,163   ,54.3  ,20.5  , 87.8 , 85.5 , 85.5 ,.     ,23.3  ,.     , 55.5 ,.     , 85.5 ,12.8  ,12.8  ,.     , 0.00 ,14.79 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 25.1 ,  0.0 ,  0.0 ,  2.1 ,  0.5 , 22.9 , 15.6 ,  7.9 ,699.0 , 61.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.7 , 84   ,302   , 29.6 , 30.4 , 99.3 ,121.9 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,1, 12.5 ,  0.0 ,.     ,47.2  ,151   ,46.2  ,20.2  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,573.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  7.4 , 92   ,264   , 24.1 , 44.0 , 56.5 ,127.0 ,  0.0 ,17.5  ,50.0  ,21.4  ,3.8   ,0.8   ,3.0   ,
AB,F,2,  7.4 ,  0.0 ,.     ,49.1  ,154   ,48.7  ,20.5  ,  7.4 ,  3.7 ,.     ,  3.7 ,.     ,18.5  ,.     ,  3.7 ,  7.4 , 0.1  ,.     , 0.1  , 0.00 , 0.14 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,603.8 ,115.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.6 ,118   ,338   , 19.7 , 25.4 , 58.6 ,115.4 ,  0.0 ,16.8  ,51.0  ,23.6  ,4.4   ,1.0   ,3.5   ,
AB,F,3, 10.0 ,  0.0 ,.     ,48.2  ,153   ,47.5  ,20.4  ,  3.7 ,  1.9 ,.     ,  1.9 ,.     ,18.5  ,.     ,  1.9 ,  3.7 , 0.1  ,.     , 0.1  , 0.00 , 0.07 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,588.5 , 57.5 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  7.0 ,105   ,301   , 21.9 , 34.7 , 57.6 ,121.2 ,  0.0 ,17.2  ,50.5  ,22.5  ,4.1   ,0.9   ,3.3   ,
AB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,3,  7.9 ,  0.0 , 755.2,47.5  ,158   ,50.9  ,20.4  , 45.7 , 43.7 ,.     ,.     ,.     ,.     ,.     ,.     , 44.6 , 6.4  ,.     ,.     , 0.00 , 7.43 ,.     ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.5 ,  0.0 ,  0.0 ,  1.1 ,  0.2 , 11.4 ,  7.8 ,  3.9 ,643.8 , 59.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.8 , 94   ,301   , 25.8 , 32.6 , 78.5 ,121.5 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,1,  0.0 ,  0.0 ,.     ,50.0  ,165   ,54.4  ,19.8  , 82.6 , 82.6 , 82.6 ,.     ,22.3  ,.     , 47.8 ,.     , 82.6 ,12.2  ,12.2  ,.     , 0.93 ,15.06 , 0.93 ,.     ,  0.0 ,  4.3 ,  8.7 ,  4.3 ,  0.0 ,  4.3 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  4.3 , 14.0 ,  7.0 ,582.5 , 55.1 ,  0.0 ,  0.0 ,  0.0 ,  7.0 ,  0.0 ,  8.8 ,158   ,338   ,  4.0 , 42.3 , 48.0 , 92.9 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,2,  4.2 ,  0.0 ,.     ,49.3  ,162   ,53.9  ,20.6  , 83.3 , 75.0 , 75.0 ,.     ,22.9  ,.     , 37.5 ,.     , 83.3 ,10.9  ,10.9  ,.     , 0.00 ,12.62 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 12.5 ,  4.2 , 89.3 ,  4.2 ,  2.1 ,  8.3 ,  4.2 ,  7.8 ,653.6 , 32.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  7.9 , 72   ,322   , 24.1 , 29.5 , 96.0 , 80.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,3,  2.1 ,  0.0 ,.     ,49.6  ,164   ,54.1  ,20.2  , 83.0 , 78.8 , 78.8 ,.     ,22.6  ,.     , 42.6 ,.     , 83.0 ,11.6  ,11.6  ,.     , 0.47 ,13.84 , 0.47 ,.     ,  0.0 ,  2.1 ,  4.3 ,  2.1 ,  0.0 ,  8.4 ,  2.1 , 44.6 ,  2.1 ,  1.1 ,  6.3 ,  9.1 ,  7.4 ,618.1 , 44.0 ,  0.0 ,  0.0 ,  0.0 ,  3.5 ,  0.0 ,  8.4 ,115   ,330   , 14.1 , 35.9 , 72.0 , 86.5 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,1,  0.0 ,  0.0 ,.     ,47.0  ,154   ,47.1  ,19.9  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,545.8 , 44.5 ,  0.0 ,  0.0 ,  0.0 , 16.5 ,  0.5 ,  8.5 , 61   ,273   ,  2.8 , 32.8 , 38.3 ,104.8 ,  0.0 ,17.7  ,49.0  ,21.8  ,4.0   ,0.8   ,3.1   ,
AC,F,2,  0.0 ,  0.0 ,.     ,48.3  ,155   ,47.5  ,19.7  ,  3.8 ,  3.8 ,.     ,  3.8 ,.     ,24.0  ,.     ,  3.8 ,  3.8 , 0.4  ,.     , 0.4  , 0.00 , 0.44 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,577.7 , 35.8 ,  0.0 ,  0.0 ,  0.0 ,  0.7 ,  0.0 ,  7.9 ,115   ,338   , 33.1 , 15.2 , 29.1 , 45.7 ,  0.0 ,18.5  ,48.0  ,21.9  ,4.2   ,1.3   ,2.9   ,
AC,F,3,  0.0 ,  0.0 ,.     ,47.6  ,155   ,47.3  ,19.8  ,  1.9 ,  1.9 ,.     ,  1.9 ,.     ,24.0  ,.     ,  1.9 ,  1.9 , 0.2  ,.     , 0.2  , 0.00 , 0.22 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,561.8 , 40.1 ,  0.0 ,  0.0 ,  0.0 ,  8.6 ,  0.3 ,  8.2 , 88   ,306   , 17.9 , 24.0 , 33.7 , 75.3 ,  0.0 ,18.1  ,48.5  ,21.9  ,4.1   ,1.1   ,3.0   ,
AC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,3,  1.1 ,  0.0 , 431.5,48.6  ,159   ,50.7  ,20.0  , 42.4 , 40.4 ,.     ,.     ,.     ,.     ,.     ,.     , 42.4 , 5.9  ,.     ,.     , 0.23 , 7.03 ,.     ,.     ,  0.0 ,  1.1 ,  2.2 ,  1.1 ,  0.0 ,  4.2 ,  1.1 , 22.3 ,  1.1 ,  0.5 ,  3.2 ,  4.5 ,  3.7 ,589.9 , 42.1 ,  0.0 ,  0.0 ,  0.0 ,  6.0 ,  0.1 ,  8.3 ,102   ,318   , 16.0 , 29.9 , 52.9 , 80.9 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,1,  7.7 ,  0.0 ,.     ,48.4  ,163   ,55.7  ,21.0  , 76.9 , 73.1 , 73.1 ,.     ,23.1  ,.     , 34.6 ,.     , 76.9 ,11.9  ,11.9  ,.     , 0.00 ,13.73 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  7.7 ,  0.0 ,  3.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  4.1 ,  2.1 , 14.4 ,338.8 ,118.8 ,  0.0 , 33.0 ,  9.9 ,  0.0 ,  8.0 ,164   ,234   ,  0.7 ,  0.0 , 52.8 , 30.2 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,2,  7.4 ,  3.7 ,.     ,46.6  ,165   ,53.3  ,19.6  , 66.7 , 59.3 , 59.3 ,.     ,23.5  ,.     , 37.0 ,.     , 70.4 , 9.7  , 9.7  ,.     , 0.00 ,11.22 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  9.6 ,243.5 ,219.4 ,  0.0 , 19.8 ,  7.2 ,113.9 ,  5.8 ,257   ,163   ,  1.4 ,  0.0 , 15.6 , 22.7 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,3,  7.6 ,  1.9 ,.     ,47.5  ,164   ,54.5  ,20.3  , 71.8 , 66.2 , 66.2 ,.     ,23.3  ,.     , 35.8 ,.     , 73.7 ,10.8  ,10.8  ,.     , 0.00 ,12.48 , 0.00 ,.     ,  0.0 ,  0.0 ,  0.0 ,  3.9 ,  0.0 ,  1.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  2.0 ,  1.1 , 12.0 ,291.2 ,169.1 ,  0.0 , 26.4 ,  8.6 , 57.0 ,  6.9 ,211   ,199   ,  1.1 ,  0.0 , 34.2 , 26.4 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,F,1, 12.0 ,  0.0 ,.     ,48.8  ,156   ,50.7  ,20.8  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 13.3 ,304.3 ,145.5 ,  0.0 , 25.3 , 10.6 ,  0.0 ,  7.1 ,165   ,252   ,  0.8 ,  0.0 , 30.2 , 41.3 ,  0.0 ,17.4  ,49.0  ,21.0  ,6.5   ,1.9   ,4.6   ,
BA,F,2,  0.0 ,  0.0 ,.     ,49.3  ,153   ,48.8  ,21.0  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  6.6 ,238.5 ,219.2 ,  0.0 , 18.9 ,  4.1 ,149.2 ,  4.6 ,271   ,173   ,  1.9 ,  0.0 , 17.0 , 31.5 ,  0.0 ,16.9  ,47.0  ,21.5  ,6.4   ,1.7   ,4.7   ,
BA,F,3,  6.0 ,  0.0 ,.     ,49.0  ,155   ,49.8  ,20.9  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,.     ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 10.0 ,271.4 ,182.3 ,  0.0 , 22.1 ,  7.3 , 74.6 ,  5.8 ,218   ,213   ,  1.4 ,  0.0 , 23.6 , 36.4 ,  0.0 ,17.1  ,48.0  ,21.3  ,6.5   ,1.8   ,4.7   ,
BA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,3,  6.8 ,  0.9 , 289.9,48.3  ,159   ,52.1  ,20.6  , 35.9 , 33.1 ,.     ,.     ,.     ,.     ,.     ,.     , 36.8 , 5.4  ,.     ,.     , 0.00 , 6.24 ,.     ,.     ,  0.0 ,  0.0 ,  0.0 ,  1.9 ,  0.0 ,  0.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.9 ,  1.0 ,  0.5 , 11.0 ,281.3 ,175.7 ,  0.0 , 24.3 ,  8.0 , 65.8 ,  6.4 ,214   ,206   ,  1.2 ,  0.0 , 28.9 , 31.4 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,1,  0.0 ,  0.0 ,.     ,51.3  ,165   ,56.6  ,20.9  , 73.1 , 73.1 , 73.1 ,.     ,21.1  ,.     , 65.4 ,.     , 19.2 , 0.4  , 0.4  ,.     ,10.12 ,10.53 ,10.12 ,.     , 46.2 , 26.9 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.8 ,  5.8 ,  2.9 ,  0.3 ,163.5 ,298.2 ,  0.0 , 89.4 , 10.9 , 62.7 ,  4.3 ,101   ,166   ,  3.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,2,  8.3 ,  0.0 ,.     ,48.9  ,165   ,57.7  ,21.3  , 70.8 , 70.8 , 70.8 ,.     ,21.6  ,.     , 41.7 ,.     , 45.8 , 3.6  , 3.6  ,.     , 4.45 , 8.66 , 4.45 ,.     , 12.5 , 20.8 ,  0.0 ,  0.0 ,  0.0 , 12.5 ,  4.2 ,  0.0 ,  0.0 ,  0.0 ,  8.3 ,  3.6 ,  1.8 ,  4.4 ,288.0 ,226.6 ,  0.0 , 60.6 , 10.3 ,168.8 ,  7.3 , 49   ,201   , 21.2 ,  0.0 ,  6.0 , 18.0 , 10.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,3,  4.2 ,  0.0 ,.     ,50.1  ,165   ,57.2  ,21.1  , 72.0 , 72.0 , 72.0 ,.     ,21.4  ,.     , 53.6 ,.     , 32.5 , 2.0  , 2.0  ,.     , 7.29 , 9.60 , 7.29 ,.     , 29.4 , 23.9 ,  0.0 ,  0.0 ,  0.0 ,  8.2 ,  2.1 ,  0.0 ,  0.0 ,  0.0 ,  6.1 ,  4.7 ,  2.4 ,  2.4 ,225.8 ,262.4 ,  0.0 , 75.0 , 10.6 ,115.8 ,  5.8 , 75   ,184   , 12.2 ,  0.0 ,  3.0 ,  9.0 ,  5.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,1,  0.0 ,  0.0 ,.     ,47.6  ,156   ,54.2  ,22.2  ,  7.7 ,  7.7 ,.     ,  7.7 ,.     ,30.0  ,.     ,  0.0 ,  3.8 , 0.5  ,.     , 0.5  , 0.32 , 0.90 ,.     , 0.32 ,  3.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,168.1 ,222.6 ,  0.0 , 73.7 , 11.4 , 25.6 ,  4.6 , 96   ,155   , 20.2 ,  0.0 ,  0.0 ,  0.5 ,  0.0 ,17.0  ,45.0  ,22.5  ,4.6   ,1.1   ,3.5   ,
BB,F,2, 12.5 ,  0.0 ,.     ,48.3  ,152   ,49.9  ,21.6  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,256.3 ,154.8 ,  0.0 , 63.0 ,  7.9 , 84.6 ,  6.3 , 33   ,192   , 15.1 ,  0.0 ,  1.5 ,  6.0 ,  0.0 ,16.2  ,50.0  ,21.5  ,4.3   ,0.6   ,3.7   ,
BB,F,3,  6.3 ,  0.0 ,.     ,48.0  ,154   ,52.1  ,21.9  ,  3.9 ,  3.9 ,.     ,  3.9 ,.     ,30.0  ,.     ,  0.0 ,  1.9 , 0.3  ,.     , 0.3  , 0.16 , 0.45 ,.     , 0.16 ,  1.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,212.2 ,188.7 ,  0.0 , 68.4 ,  9.7 , 55.1 ,  5.5 , 65   ,174   , 17.6 ,  0.0 ,  0.8 ,  3.3 ,  0.0 ,16.6  ,47.5  ,22.0  ,4.5   ,0.9   ,3.6   ,
