County, Sex, Xiang, Q005, Q006, Q031, Q089, Q090, Q091, Q092, Q128, Q129, Q130, Q131, Q132, Q133, Q134, Q135, Q136, Q137, Q138, Q139, Q140, Q141, Q142, Q143, Q144, Q145, Q146, Q147, Q148, Q149, Q150, Q151, Q152, Q153, Q154, Q155, Q156, Q157, Q158, Q159, Q160, Q161, Q162, Q163, Q164, Q171, Q172, Q173, Q174, Q175, Q176, Q177, Q185, Q188, Q189, Q190, Q191, Q192, 
UF,M,1,  0.0 ,  4.2 ,.     ,51.2  ,163   ,52.8  ,19.8  , 66.7 , 66.7 , 66.7 ,.     ,22.4  ,.     , 37.5 ,.     , 54.2 , 3.8  , 3.8  ,.     ,12.54 ,16.91 ,12.54 ,.     , 62.5 , 12.5 ,  0.0 ,  0.0 ,  0.0 , 20.8 ,  0.0 ,  0.0 ,  8.3 ,  9.8 , 20.8 , 15.8 ,  9.4 ,537.1 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,153.3 , 22.6 ,339   ,337   ,  0.7 ,  0.0 , 99.0 ,  7.5 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
UF,M,2,  3.3 ,  0.0 ,.     ,48.6  ,164   ,51.4  ,19.1  , 46.7 , 46.7 , 46.7 ,.     ,23.5  ,.     , 33.3 ,.     , 36.7 , 3.1  , 3.1  ,.     , 7.95 ,11.52 , 7.95 ,.     , 36.7 ,  3.3 ,  0.0 ,  3.3 ,  0.0 , 26.7 ,  0.0 ,  0.0 ,  6.7 ,  4.0 , 20.0 , 13.8 ,  7.5 ,510.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.1 , 88.8 , 32.6 ,188   ,325   ,  1.4 , 40.8 ,101.2 , 45.6 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
UF,M,3,  1.6 ,  2.1 ,.     ,49.9  ,164   ,52.1  ,19.5  , 56.7 , 56.7 , 56.7 ,.     ,22.9  ,.     , 35.4 ,.     , 45.5 , 3.5  , 3.5  ,.     ,10.24 ,14.21 ,10.24 ,.     , 49.6 ,  7.9 ,  0.0 ,  1.6 ,  0.0 , 23.8 ,  0.0 ,  0.0 ,  7.5 ,  6.9 , 20.4 , 14.8 ,  8.5 ,523.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.6 ,121.1 , 27.6 ,264   ,331   ,  1.1 , 20.4 ,100.1 , 26.6 ,  0.0 ,.     ,.     ,.     ,.     ,.     ,.     ,
UF,F,1, 10.3 ,  0.0 ,.     ,47.8  ,156   ,46.8  ,19.1  ,  3.4 ,  3.4 ,.     ,  3.4 ,.     ,28.0  ,.     ,  0.0 ,  3.4 , 0.5  ,.     , 0.5  , 0.00 , 0.52 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,519.8 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,191.8 , 22.8 ,315   ,330   ,  0.0 ,  2.1 , 53.1 ,  9.4 ,  0.0 ,19.0  ,50.0  ,22.7  ,4.9   ,0.4   ,4.5   ,
UF,F,2,  3.4 ,  0.0 ,.     ,49.0  ,154   ,43.1  ,18.2  ,  0.0 ,  0.0 ,.     ,  0.0 ,.     ,  .   ,.     ,  0.0 ,  0.0 , 0.0  ,.     , 0.0  , 0.00 , 0.00 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  3.4 ,  0.0 ,  0.0 ,  3.4 ,  2.5 ,  0.0 ,  0.0 ,  0.4 ,484.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.7 ,114.5 , 26.5 ,164   ,329   ,  2.7 , 15.3 , 65.8 , 43.4 ,  2.5 ,17.5  ,48.0  ,23.2  ,5.3   ,0.8   ,4.5   ,
UF,F,3,  6.9 ,  0.0 ,.     ,48.4  ,155   ,45.0  ,18.7  ,  1.7 ,  1.7 ,.     ,  1.7 ,.     ,28.0  ,.     ,  0.0 ,  1.7 , 0.3  ,.     , 0.3  , 0.00 , 0.26 ,.     , 0.00 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  1.7 ,  0.0 ,  0.0 ,  1.7 ,  1.3 ,  0.0 ,  0.0 ,  0.2 ,502.2 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.8 ,153.2 , 24.7 ,240   ,330   ,  1.4 ,  8.7 , 59.5 , 26.4 ,  1.3 ,18.3  ,49.0  ,22.9  ,5.1   ,0.6   ,4.5   ,
UF,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UF,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UF,T,3,  4.3 ,  1.1 , 454.6,49.2  ,159   ,48.5  ,19.1  , 29.2 , 29.2 ,.     ,.     ,.     ,.     ,.     ,.     , 23.6 , 1.9  ,.     ,.     , 5.12 , 7.24 ,.     ,.     , 24.8 ,  4.0 ,  0.0 ,  0.8 ,  0.0 , 12.7 ,  0.0 ,  0.0 ,  4.6 ,  4.1 , 10.2 ,  7.4 ,  4.3 ,512.9 ,  0.0 ,  0.0 ,  0.0 ,  0.0 ,  0.7 ,137.1 , 26.1 ,252   ,330   ,  1.2 , 14.6 , 79.8 , 26.5 ,  0.6 ,.     ,.     ,.     ,.     ,.     ,.     ,
VA,M,1,  9.1 ,  4.5 ,.     ,44.1  ,169   ,60.7  ,21.4  , 77.3 , 72.7 , 72.7 ,.     ,25.9  ,.     , 31.8 ,.     , 68.2 , 6.3  , 6.3  ,.     , 1.87 , 9.12 , 1.87 ,.     , 13.6 ,  0.0 ,  0.0 ,  4.5 ,  0.0 , 13.6 ,  0.0 ,  0.0 ,  0.0 ,  0.0 , 13.6 , 25.0 , 12.5 ,  6.1 ,493.1 ,  0.0 ,  0.0 ,  2.5 ,  0.6 ,  0.0 , 11.8 ,129   ,119   , 18.0 ,  0.5 , 45.3 , 42.0 ,  8.2 ,.     ,.     ,.     ,.     ,.     ,.     ,
