County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, P011, P012, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, P031, P032, P034, P036, P037, P038, P039, P040, P041, P042, P044, P045, P046, P047, P048, R002, R003, R004, R005, R006, R007, R008, R009, R010, R011, R012, R013, R014, R015, R016, R017, R018, R019, R020, R021, R022, R023, R024, R025, R026, U001, U002, U003, U004, U005, U006, U007, U008, U009, U010, U011, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, U025, U026, U027, U028, U029, U030, 
ZI,F,3,163   ,48.1  ,115.0 ,122.0 ,71.3  ,4.3   ,8.55  , 4.74 , 19.1 , 4.90 , 5.40 ,54.8  ,5.29  , 614  ,142   , 3.85 , 41.2 , 4.00 , 2.95 , 8.15 , 2.10 , 2.25 , 3.75 ,18.1  ,0.55  ,35.58 ,0.124 ,14.8  ,3.92  ,13.6  ,0.104 ,0.298 ,504   , 93.7 ,17.2  ,3.6   , 7.3  ,2.19  ,.     , 42   , 88.5 ,.     , 53   ,.     , 14.9 ,1.13  ,50.3  , 17.6 ,22.6  , 9.61 ,32.2  , 0.65 ,0.26  ,19.8  ,18.2  ,0.56  ,1.61  , 9.91 ,0.20  , 9.9  ,0.38  , 1.28 , 5.82 ,2.93  ,0.84  , 5.83 , 7.19 ,0.46  ,1.79  ,13.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZI,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZI,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZI,T,3,165   ,45.2  ,119.8 ,119.8 ,70.9  ,4.4   ,8.69  , 4.11 , 16.8 , 4.68 , 4.88 ,69.4  ,5.54  , 636  ,155   , 4.53 , 43.1 , 4.03 , 2.95 , 8.08 , 1.95 , 2.02 , 3.75 ,15.9  ,0.70  ,33.66 ,0.122 ,14.9  ,3.82  ,13.9  ,0.103 ,0.314 ,507   , 97.9 ,17.2  ,3.7   , 6.8  ,2.18  ,.     , 41   , 88.4 ,.     ,.     ,.     ,.     ,1.07  ,48.7  , 17.4 ,25.9  , 8.03 ,33.9  , 0.71 ,0.22  ,18.7  ,17.2  ,0.47  ,1.50  ,10.49 ,0.22  ,10.9  ,0.32  , 0.64 , 5.36 ,1.99  ,0.84  , 5.20 , 9.09 ,0.47  ,1.76  ,14.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZJ,M,1,157   ,48.0  ,109.0 ,131.8 ,63.3  ,4.4   ,7.33  , 7.08 , 17.1 , 4.70 , 7.20 ,86.8  ,4.88  , 694  ,144   , 5.40 , 39.1 , 5.00 , 3.50 , 6.90 , 2.80 , 1.60 , 3.90 ,11.0  ,0.49  ,28.91 ,0.123 ,18.4  ,3.47  ,14.5  ,0.101 ,0.217 ,378   , 70.3 ,18.3  ,2.9   , 6.7  ,1.99  , 5.51 , 17   , 87.1 , 84   ,.     , 25.8 ,.     ,1.26  ,47.8  , 17.1 ,31.0  , 4.11 ,35.1  , 0.73 ,0.17  ,18.9  ,17.7  ,0.30  ,1.02  , 9.71 ,0.28  ,13.0  ,0.56  , 0.00 , 3.22 ,0.29  ,1.08  , 2.74 ,12.12 ,0.63  ,1.86  ,16.4  , 4.5  ,1.27  , 3.3  ,0.08  ,0.65  , 8.0  ,0.20  ,479   ,0.22  , 3.63 ,0.79  , 528  , 466  , 0.16 , 0.07 , 1.17 , 0.88 , 1.04 , 0.36 ,  4.70,  4.57,0.03  , 0.29 ,  7.07,  5.88, 0.12 , 1.03 , 0.70 ,  4.63,
ZJ,M,2,160   ,50.5  ,109.5 ,135.0 ,62.6  ,4.4   ,8.20  , 2.57 ,  8.0 , 2.60 , 4.60 ,51.8  ,5.66  , 569  , 96   , 4.00 , 30.2 , 3.20 , 2.40 , 4.90 , 1.80 , 2.80 , 3.20 ,11.5  ,0.85  ,33.86 ,0.122 ,14.1  ,3.37  ,14.0  ,0.128 ,0.266 ,445   , 83.0 ,16.0  ,3.3   , 5.8  ,2.34  , 7.22 , 19   , 92.9 ,143   ,.     , 60.0 ,.     ,1.12  ,48.3  , 19.2 ,24.4  , 7.91 ,32.3  , 0.67 ,0.28  ,18.7  ,17.4  ,0.46  ,1.81  , 9.60 ,0.27  ,11.0  ,0.35  , 1.45 , 6.14 ,1.27  ,1.06  , 5.58 , 9.17 ,0.50  ,1.64  ,13.1  , 3.0  ,0.82  , 2.4  ,0.12  ,0.41  , 6.7  ,0.08  ,660   ,0.24  ,10.02 ,1.22  , 386  , 411  , 0.04 , 0.02 , 2.30 , 0.36 , 0.32 , 1.98 ,  7.01,  3.08,0.06  , 1.94 ,  9.67,  5.45, 0.03 , 1.33 , 1.15 ,  5.05,
ZJ,M,3,159   ,49.3  ,109.3 ,133.4 ,63.0  ,4.4   ,7.76  , 4.83 , 12.6 , 3.65 , 5.90 ,69.3  ,5.27  , 632  ,120   , 4.70 , 34.6 , 4.10 , 2.95 , 5.90 , 2.30 , 2.20 , 3.55 ,11.3  ,0.67  ,31.39 ,0.122 ,16.3  ,3.42  ,14.3  ,0.115 ,0.242 ,412   , 76.7 ,17.2  ,3.1   , 6.3  ,2.17  , 6.37 , 18   , 90.0 ,114   ,.     , 42.9 ,.     ,1.19  ,48.0  , 18.2 ,27.7  , 6.01 ,33.7  , 0.70 ,0.23  ,18.8  ,17.6  ,0.38  ,1.42  , 9.66 ,0.28  ,12.0  ,0.46  , 0.72 , 4.68 ,0.78  ,1.07  , 4.16 ,10.64 ,0.57  ,1.75  ,14.8  , 3.8  ,1.04  , 2.9  ,0.10  ,0.53  , 7.4  ,0.14  ,570   ,0.23  , 6.83 ,1.01  , 457  , 439  , 0.10 , 0.05 , 1.73 , 0.62 , 0.68 , 1.17 ,  5.86,  3.83,0.04  , 1.11 ,  8.37,  5.67, 0.07 , 1.18 , 0.92 ,  4.84,
ZJ,F,1,169   ,49.1  ,119.9 ,129.4 ,67.9  ,4.4   ,7.57  , 5.80 , 19.3 , 5.40 , 5.50 ,65.3  ,4.73  , 484  ,154   , 4.00 , 36.9 , 4.20 , 3.20 , 9.50 , 2.70 , 0.60 , 3.90 , 9.2  ,0.51  ,31.38 ,0.110 ,17.3  ,3.53  ,15.2  ,0.110 ,0.219 ,396   , 68.7 ,15.7  ,3.8   , 6.8  ,2.07  ,.     , 14   , 93.3 ,.     , 36   ,.     ,  6.9 ,1.00  ,46.7  , 18.4 ,26.0  , 8.89 ,34.9  , 0.75 ,0.31  ,17.8  ,16.0  ,0.42  ,1.91  ,10.22 ,0.35  ,10.9  ,0.32  , 0.00 , 6.86 ,1.18  ,0.67  , 7.05 , 9.04 ,0.47  ,1.76  ,14.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZJ,F,2,186   ,56.6  ,129.4 ,138.9 ,71.8  ,4.2   ,8.03  , 2.74 , 21.2 , 7.70 ,12.20 ,44.0  ,4.28  , 420  ,126   , 6.30 , 37.3 , 4.40 , 2.50 , 6.60 , 2.90 , 7.40 , 5.20 , 9.8  ,0.93  ,31.86 ,0.131 ,13.8  ,3.50  ,12.0  ,0.104 ,0.208 ,432   , 82.0 ,17.3  ,3.3   , 6.4  ,1.88  ,.     , 17   , 86.7 ,.     , 35   ,.     , 16.7 ,1.04  ,52.9  , 16.3 ,23.6  , 7.08 ,30.7  , 0.58 ,0.21  ,21.3  ,18.6  ,0.32  ,2.04  ,10.46 ,0.19  ,10.5  ,0.22  , 0.00 , 5.40 ,0.88  ,0.80  , 5.40 , 8.03 ,0.39  ,1.68  ,13.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZJ,F,3,178   ,52.9  ,124.7 ,134.2 ,69.9  ,4.3   ,7.80  , 4.27 , 20.3 , 6.55 , 8.85 ,54.6  ,4.51  , 452  ,140   , 5.15 , 37.1 , 4.30 , 2.85 , 8.05 , 2.80 , 4.00 , 4.55 , 9.5  ,0.72  ,31.62 ,0.121 ,15.6  ,3.52  ,13.6  ,0.107 ,0.213 ,414   , 75.4 ,16.5  ,3.5   , 6.6  ,1.97  ,.     , 16   , 90.0 ,.     , 36   ,.     , 11.8 ,1.02  ,49.8  , 17.4 ,24.8  , 7.99 ,32.8  , 0.67 ,0.26  ,19.6  ,17.3  ,0.37  ,1.98  ,10.34 ,0.27  ,10.7  ,0.27  , 0.00 , 6.13 ,1.03  ,0.74  , 6.23 , 8.54 ,0.43  ,1.72  ,14.2  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
