County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, P011, P012, P013, P014, P015, P016, P017, P018, P019, P020, P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, P031, P032, P034, P036, P037, P038, P039, P040, P041, P042, P044, P045, P046, P047, P048, R002, R003, R004, R005, R006, R007, R008, R009, R010, R011, R012, R013, R014, R015, R016, R017, R018, R019, R020, R021, R022, R023, R024, R025, R026, U001, U002, U003, U004, U005, U006, U007, U008, U009, U010, U011, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, U025, U026, U027, U028, U029, U030, 
ZJ,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZJ,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZJ,T,3,168   ,51.1  ,117.0 ,133.8 ,66.4  ,4.4   ,7.78  , 4.55 , 16.4 , 5.10 , 7.38 ,62.0  ,4.89  , 542  ,130   , 4.93 , 35.9 , 4.20 , 2.90 , 6.98 , 2.55 , 3.10 , 4.05 ,10.4  ,0.70  ,31.50 ,0.122 ,15.9  ,3.47  ,13.9  ,0.111 ,0.228 ,413   , 76.0 ,16.8  ,3.3   , 6.4  ,2.07  ,.     , 17   , 90.0 ,.     ,.     ,.     ,.     ,1.11  ,48.9  , 17.8 ,26.3  , 7.00 ,33.3  , 0.68 ,0.24  ,19.2  ,17.4  ,0.38  ,1.70  ,10.00 ,0.27  ,11.4  ,0.36  , 0.36 , 5.41 ,0.91  ,0.90  , 5.19 , 9.59 ,0.50  ,1.74  ,14.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,M,1,180   ,45.7  ,134.3 ,123.0 ,70.7  ,4.5   ,8.80  , 2.69 , 12.1 , 4.70 , 5.00 ,51.1  ,5.12  , 440  ,170   , 1.10 , 25.1 , 4.40 , 2.90 , 7.60 , 1.70 , 3.80 , 3.80 , 8.3  ,1.02  ,29.25 ,0.124 ,15.6  ,3.87  ,14.2  ,0.127 ,0.265 ,491   ,102.7 ,17.3  ,4.1   , 7.0  ,2.26  , 6.33 ,  7   , 86.2 ,194   ,.     , 56.5 ,.     ,1.20  ,45.9  , 18.4 ,29.9  , 5.81 ,35.7  , 0.78 ,0.34  ,22.5  ,12.7  ,0.38  ,1.36  , 8.66 ,0.26  ,13.5  ,0.43  , 0.00 , 4.25 ,0.27  ,1.22  , 4.32 ,14.45 ,0.47  ,1.22  ,13.7  , 3.8  ,0.79  , 2.8  ,0.10  ,0.39  , 7.4  ,0.28  ,487   ,0.18  , 0.00 ,2.20  , 551  , 573  , 0.03 , 0.10 , 2.42 , 0.95 , 2.08 , 1.11 ,  4.78,  8.12,0.06  , 1.47 ,  9.31, 10.28, 0.07 , 1.69 , 1.59 ,  6.45,
ZK,M,2,177   ,44.1  ,132.9 ,131.1 ,78.5  ,4.6   ,8.57  , 2.87 , 16.0 , 6.00 , 6.70 ,51.0  ,3.99  , 493  ,169   , 4.00 , 32.2 , 6.70 , 4.70 ,11.70 , 2.80 , 4.20 , 6.50 , 7.6  ,0.48  ,22.55 ,0.107 ,15.5  ,3.57  ,14.0  ,0.116 ,0.312 ,494   , 99.0 ,17.3  ,4.1   , 7.3  ,2.08  , 7.80 , 23   , 90.0 ,189   ,.     , 62.5 ,.     ,1.25  ,48.5  , 18.3 ,24.5  , 8.76 ,33.3  , 0.69 ,0.18  ,17.8  ,17.0  ,0.44  ,1.79  ,11.27 ,0.16  ,10.7  ,0.27  , 1.69 , 5.47 ,1.94  ,1.15  , 5.67 , 9.62 ,0.41  ,1.43  ,13.1  , 3.4  ,0.82  , 2.6  ,0.12  ,0.48  , 6.9  ,0.23  ,630   ,0.13  , 0.00 ,1.67  , 610  , 652  , 0.16 , 0.04 , 3.21 , 1.86 , 6.43 , 2.89 , 14.84, 10.56,0.08  , 1.35 , 24.64, 15.35, 0.10 , 2.54 , 4.66 , 12.70,
ZK,M,3,179   ,44.9  ,133.6 ,127.0 ,74.6  ,4.5   ,8.69  , 2.78 , 14.1 , 5.35 , 5.85 ,51.1  ,4.56  , 467  ,170   , 2.55 , 28.7 , 5.55 , 3.80 , 9.65 , 2.25 , 4.00 , 5.15 , 8.0  ,0.75  ,25.90 ,0.116 ,15.6  ,3.72  ,14.1  ,0.122 ,0.289 ,493   ,100.9 ,17.3  ,4.1   , 7.2  ,2.17  , 7.07 , 15   , 88.1 ,192   ,.     , 59.5 ,.     ,1.23  ,47.2  , 18.4 ,27.2  , 7.29 ,34.5  , 0.73 ,0.26  ,20.2  ,14.8  ,0.41  ,1.58  , 9.96 ,0.21  ,12.1  ,0.35  , 0.84 , 4.86 ,1.10  ,1.19  , 5.00 ,12.04 ,0.44  ,1.32  ,13.4  , 3.6  ,0.81  , 2.7  ,0.11  ,0.43  , 7.2  ,0.26  ,559   ,0.15  , 0.00 ,1.94  , 581  , 613  , 0.10 , 0.07 , 2.81 , 1.41 , 4.25 , 2.00 ,  9.81,  9.34,0.07  , 1.41 , 16.98, 12.81, 0.09 , 2.12 , 3.13 ,  9.57,
ZK,F,1,183   ,47.0  ,136.0 ,120.9 ,78.2  ,4.3   ,8.17  , 5.15 , 28.0 , 5.60 , 7.20 ,43.8  ,3.91  , 454  ,192   , 2.40 , 28.4 , 3.80 , 3.40 ,13.30 , 2.80 , 4.70 , 3.60 , 8.1  ,0.60  ,30.61 ,0.125 ,14.6  ,3.60  ,12.6  ,0.116 ,0.223 ,469   , 97.0 ,16.0  ,3.4   , 7.4  ,1.56  ,.     ,  7   , 86.7 ,.     , 28   ,.     , 13.8 ,1.25  ,49.4  , 17.0 ,29.3  , 4.38 ,33.6  , 0.68 ,0.21  ,21.8  ,18.0  ,0.42  ,1.52  , 7.40 ,0.28  ,12.7  ,0.31  , 0.33 , 3.40 ,0.16  ,0.90  , 3.31 ,12.82 ,0.40  ,1.38  ,14.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,F,2,195   ,48.2  ,146.8 ,137.5 ,79.3  ,4.5   ,8.57  , 3.80 , 37.6 , 8.70 , 7.60 ,54.1  ,3.97  , 611  ,339   , 4.00 , 64.1 , 5.60 , 4.00 ,24.00 , 2.40 , 5.40 , 5.10 ,15.4  ,0.51  ,33.74 ,0.122 ,15.0  ,3.77  ,13.6  ,0.104 ,0.244 ,467   , 98.0 ,15.3  ,3.4   , 6.4  ,1.66  ,.     , 20   , 83.3 ,.     , 16   ,.     ,  3.4 ,1.05  ,46.8  , 18.7 ,29.0  , 5.52 ,34.5  , 0.74 ,0.23  ,17.8  ,16.4  ,0.42  ,1.60  ,10.38 ,0.17  ,11.1  ,0.27  , 2.41 , 4.75 ,1.62  ,1.00  , 2.90 ,10.77 ,0.42  ,1.44  ,16.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,F,3,189   ,47.6  ,141.4 ,129.2 ,78.8  ,4.4   ,8.37  , 4.48 , 32.8 , 7.15 , 7.40 ,49.0  ,3.94  , 533  ,266   , 3.20 , 46.3 , 4.70 , 3.70 ,18.65 , 2.60 , 5.05 , 4.35 ,11.8  ,0.56  ,32.18 ,0.123 ,14.8  ,3.69  ,13.1  ,0.110 ,0.234 ,468   , 97.5 ,15.7  ,3.4   , 6.9  ,1.61  ,.     , 14   , 85.0 ,.     , 22   ,.     ,  8.6 ,1.15  ,48.1  , 17.9 ,29.2  , 4.95 ,34.1  , 0.71 ,0.22  ,19.8  ,17.2  ,0.42  ,1.56  , 8.89 ,0.23  ,11.9  ,0.29  , 1.37 , 4.08 ,0.89  ,0.95  , 3.10 ,11.79 ,0.41  ,1.41  ,15.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZK,T,3,184   ,46.3  ,137.5 ,128.1 ,76.7  ,4.5   ,8.53  , 3.63 , 23.4 , 6.25 , 6.63 ,50.0  ,4.25  , 500  ,218   , 2.88 , 37.5 , 5.13 , 3.75 ,14.15 , 2.43 , 4.53 , 4.75 , 9.8  ,0.65  ,29.04 ,0.120 ,15.2  ,3.70  ,13.6  ,0.116 ,0.261 ,480   , 99.2 ,16.5  ,3.8   , 7.0  ,1.89  ,.     , 14   , 86.6 ,.     ,.     ,.     ,.     ,1.19  ,47.7  , 18.1 ,28.2  , 6.12 ,34.3  , 0.72 ,0.24  ,20.0  ,16.0  ,0.42  ,1.57  , 9.43 ,0.22  ,12.0  ,0.32  , 1.11 , 4.47 ,1.00  ,1.07  , 4.05 ,11.92 ,0.43  ,1.37  ,14.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,M,1,198   ,43.8  ,154.2 ,109.9 ,81.8  ,4.6   ,8.13  , 3.42 , 15.3 , 3.90 , 4.90 ,53.0  ,5.11  , 492  ,130   , 2.30 , 23.8 , 3.70 , 2.60 , 9.80 , 2.90 , 3.20 , 3.50 ,12.0  ,0.41  ,32.28 ,0.107 ,16.2  ,3.33  ,15.6  ,0.132 ,0.410 ,519   , 89.7 ,18.7  ,4.9   , 6.0  ,2.26  , 6.90 , 13   , 73.3 ,144   ,.     , 66.7 ,.     ,1.19  ,  .   ,   .  ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,  .   , .    , .    ,  .   , .    ,  .   , .    ,  .   ,  .   , .    , .    ,  .   ,  .   , .    , .    ,  .   , 3.0  ,0.86  , 2.4  ,0.10  ,0.48  , 7.8  ,0.17  ,578   ,0.16  ,13.49 ,1.60  , 561  , 636  , 0.06 , 0.04 , 1.49 , 1.42 , 0.57 , 0.17 ,  7.25,  6.86,0.07  , 0.06 ,  9.36,  8.49, 0.05 , 1.46 , 0.37 ,  7.05,
ZL,M,2,190   ,41.4  ,148.6 ,123.6 ,73.6  ,4.3   ,8.17  , 3.02 , 12.8 , 3.50 , 3.50 ,57.4  ,6.14  , 421  , 28   , 3.20 , 24.5 , 3.10 , 2.20 , 2.70 , 2.60 , 0.90 , 3.20 ,10.5  ,0.56  ,30.90 ,0.105 ,13.8  ,3.87  ,14.9  ,0.116 ,0.283 ,460   , 82.7 ,17.7  ,4.5   , 9.0  ,1.64  , 6.46 , 13   , 90.0 ,186   ,.     , 58.3 ,.     ,1.01  ,50.3  ,   .  ,30.0  , 4.14 ,34.1  , 0.68 ,0.15  ,19.0  ,17.8  ,0.25  ,0.85  ,12.24 ,0.22  ,12.4  , .    , 0.00 , 2.65 ,0.34  ,1.25  , 2.54 ,12.01 ,0.45  ,1.58  ,15.9  , 3.5  ,0.80  , 2.6  ,0.14  ,0.49  , 6.6  ,0.23  ,483   ,0.19  , 9.21 ,1.92  , 558  , 603  , 0.03 , 0.04 , 0.96 , 0.96 , 0.54 , 0.16 ,  4.54,  4.09,0.07  , 0.00 ,  6.07,  5.24, 0.03 , 0.96 , 0.35 ,  4.31,
ZL,M,3,194   ,42.6  ,151.4 ,116.8 ,77.7  ,4.5   ,8.15  , 3.22 , 14.1 , 3.70 , 4.20 ,55.2  ,5.63  , 457  , 79   , 2.75 , 24.2 , 3.40 , 2.40 , 6.25 , 2.75 , 2.05 , 3.35 ,11.3  ,0.49  ,31.59 ,0.106 ,15.0  ,3.60  ,15.3  ,0.124 ,0.346 ,490   , 86.2 ,18.2  ,4.7   , 7.5  ,1.95  , 6.68 , 13   , 81.7 ,165   ,.     , 62.5 ,.     ,1.10  ,50.3  ,.     ,30.0  , 4.14 ,34.1  , 0.68 ,0.15  ,19.0  ,17.8  ,0.25  ,0.85  ,12.24 ,0.22  ,12.4  ,.     , 0.00 , 2.65 ,0.34  ,1.25  , 2.54 ,12.01 ,0.45  ,1.58  ,15.9  , 3.3  ,0.83  , 2.5  ,0.12  ,0.48  , 7.2  ,0.20  ,531   ,0.18  ,11.35 ,1.76  , 560  , 620  , 0.04 , 0.04 , 1.23 , 1.19 , 0.56 , 0.17 ,  5.90,  5.48,0.07  , 0.03 ,  7.71,  6.87, 0.04 , 1.21 , 0.36 ,  5.68,
ZL,F,1,186   ,44.1  ,141.9 ,126.6 ,77.9  ,4.4   ,8.50  , 2.48 , 14.2 , 5.00 , 4.60 ,36.9  ,3.75  , 332  ,305   , 0.00 , 27.5 , 4.60 , 2.90 ,10.20 , 2.90 , 3.30 , 4.40 ,18.1  ,0.75  ,32.79 ,0.101 ,15.1  ,3.57  , 9.8  ,0.107 ,0.296 ,490   , 89.3 ,17.0  ,3.3   , 6.9  ,2.09  ,.     , 17   , 76.7 ,.     ,  3   ,.     ,  0.0 ,1.19  ,  .   ,   .  ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,  .   , .    , .    ,  .   , .    ,  .   , .    ,  .   ,  .   , .    , .    ,  .   ,  .   , .    , .    ,  .   ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,F,2,178   ,47.4  ,130.6 ,126.3 ,75.9  ,4.5   ,8.33  , 6.38 , 40.6 , 9.10 , 4.80 ,69.6  ,4.54  , 683  ,281   , 4.30 , 53.1 , 5.20 , 3.50 ,11.00 , 3.70 , 2.50 , 4.50 ,13.0  ,1.10  ,31.32 ,0.117 ,14.5  ,3.83  ,14.2  ,0.120 ,0.247 ,492   , 93.7 ,16.0  ,4.5   , 9.0  ,2.04  ,.     , 10   , 86.2 ,.     , 14   ,.     , 11.5 ,1.11  ,59.1  ,   .  ,20.5  , 7.60 ,28.1  , 0.48 ,0.20  ,27.3  ,21.9  ,0.46  ,2.50  , 6.70 ,0.20  , 7.9  , .    , 0.00 , 4.74 ,2.60  ,1.02  , 3.99 , 7.51 ,1.52  ,1.82  , 9.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,F,3,182   ,45.8  ,136.3 ,126.5 ,76.9  ,4.5   ,8.42  , 4.43 , 27.4 , 7.05 , 4.70 ,53.3  ,4.15  , 508  ,293   , 2.15 , 40.3 , 4.90 , 3.20 ,10.60 , 3.30 , 2.90 , 4.45 ,15.6  ,0.93  ,32.05 ,0.109 ,14.8  ,3.70  ,12.0  ,0.114 ,0.272 ,491   , 91.5 ,16.5  ,3.9   , 8.0  ,2.06  ,.     , 14   , 81.5 ,.     ,  9   ,.     ,  5.8 ,1.15  ,59.1  ,.     ,20.5  , 7.60 ,28.1  , 0.48 ,0.20  ,27.3  ,21.9  ,0.46  ,2.50  , 6.70 ,0.20  , 7.9  ,.     , 0.00 , 4.74 ,2.60  ,1.02  , 3.99 , 7.51 ,1.52  ,1.82  , 9.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZL,T,3,188   ,44.2  ,143.8 ,121.6 ,77.3  ,4.5   ,8.28  , 3.83 , 20.7 , 5.38 , 4.45 ,54.2  ,4.89  , 482  ,186   , 2.45 , 32.2 , 4.15 , 2.80 , 8.43 , 3.03 , 2.48 , 3.90 ,13.4  ,0.71  ,31.82 ,0.108 ,14.9  ,3.65  ,13.6  ,0.119 ,0.309 ,490   , 88.9 ,17.4  ,4.3   , 7.7  ,2.01  ,.     , 13   , 81.6 ,.     ,.     ,.     ,.     ,1.13  ,54.7  ,.     ,25.3  , 5.87 ,31.1  , 0.58 ,0.18  ,23.2  ,19.9  ,0.36  ,1.68  , 9.47 ,0.21  ,10.2  ,.     , 0.00 , 3.70 ,1.47  ,1.14  , 3.27 , 9.76 ,0.98  ,1.70  ,12.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZM,M,1,165   ,44.8  ,120.2 ,130.6 ,72.0  ,4.6   ,8.07  , 2.73 ,  7.8 , 3.50 , 4.70 ,56.9  ,5.98  , 562  ,121   , 3.00 , 26.2 , 3.60 , 2.60 , 5.90 , 2.00 , 1.50 , 3.40 , 9.3  ,0.43  ,32.58 ,0.107 ,22.7  ,4.20  ,13.2  ,0.095 ,0.292 ,516   , 74.7 ,16.7  ,3.8   , 5.3  ,1.72  , 5.81 , 14   , 83.3 ,135   ,.     , 61.5 ,.     ,1.14  ,47.9  , 16.4 ,30.4  , 5.24 ,35.6  , 0.74 ,0.19  ,18.0  ,17.3  ,0.22  ,1.05  ,11.22 ,0.23  ,12.2  ,0.26  , 0.00 , 3.77 ,1.07  ,0.87  , 3.29 ,11.56 ,0.48  ,1.75  ,16.6  , 3.0  ,0.68  , 1.9  ,0.10  ,0.51  , 6.1  ,0.63  ,246   ,0.15  , 0.00 ,0.99  , 530  , 482  , 0.05 , 0.18 , 1.09 , 0.88 , 0.46 , 0.49 ,  1.93,  4.62,0.04  , 0.21 ,  3.53,  6.18, 0.12 , 0.98 , 0.47 ,  3.28,
ZM,M,2,169   ,53.6  ,115.4 ,123.1 ,75.3  ,4.3   ,8.27  , 4.58 , 23.3 , 5.90 , 4.20 ,67.9  ,4.93  , 714  ,217   , 4.60 , 49.4 , 5.20 , 3.70 , 8.00 , 2.30 , 3.70 , 4.30 , 9.6  ,1.24  ,32.11 ,0.113 ,14.6  ,3.43  ,13.2  ,0.110 ,0.285 ,466   , 94.7 ,16.3  ,4.1   , 6.9  ,2.24  , 6.85 , 10   , 83.9 , 62   ,.     , 34.8 ,.     ,1.15  ,47.9  , 18.3 ,26.6  , 6.90 ,33.5  , 0.70 ,0.27  ,19.2  ,17.5  ,0.59  ,1.82  , 8.54 ,0.30  ,12.4  ,0.50  , 0.00 , 5.11 ,0.73  ,0.73  , 5.45 ,10.89 ,0.55  ,1.81  ,13.3  , 3.6  ,0.81  , 2.4  ,0.13  ,0.55  , 6.2  ,0.17  ,407   ,0.21  , 0.00 ,1.81  , 663  , 623  , 0.22 , 0.80 , 1.13 , 3.99 , 0.39 , 5.23 ,  6.24, 24.64,0.05  , 0.00 ,  7.98, 34.66, 0.51 , 2.56 , 2.81 , 15.44,
ZM,M,3,167   ,49.2  ,117.8 ,126.8 ,73.7  ,4.5   ,8.17  , 3.66 , 15.6 , 4.70 , 4.45 ,62.4  ,5.46  , 638  ,169   , 3.80 , 37.8 , 4.40 , 3.15 , 6.95 , 2.15 , 2.60 , 3.85 , 9.5  ,0.83  ,32.34 ,0.110 ,18.6  ,3.82  ,13.2  ,0.103 ,0.288 ,491   , 84.7 ,16.5  ,3.9   , 6.1  ,1.98  , 6.33 , 12   , 83.6 , 99   ,.     , 48.1 ,.     ,1.15  ,47.9  , 17.4 ,28.5  , 6.07 ,34.6  , 0.72 ,0.23  ,18.6  ,17.4  ,0.40  ,1.44  , 9.88 ,0.27  ,12.3  ,0.38  , 0.00 , 4.44 ,0.90  ,0.80  , 4.37 ,11.23 ,0.52  ,1.78  ,15.0  , 3.3  ,0.75  , 2.1  ,0.12  ,0.53  , 6.2  ,0.40  ,327   ,0.18  , 0.00 ,1.40  , 597  , 553  , 0.14 , 0.49 , 1.11 , 2.44 , 0.43 , 2.86 ,  4.08, 14.63,0.05  , 0.10 ,  5.75, 20.42, 0.32 , 1.77 , 1.64 ,  9.36,
ZM,F,1,161   ,49.1  ,111.9 ,139.0 ,68.9  ,4.5   ,7.80  , 3.55 , 16.0 , 3.70 , 3.50 ,37.9  ,5.17  , 379  ,107   , 1.70 , 32.0 , 3.30 , 2.30 , 1.90 , 1.70 , 0.90 , 3.20 ,12.9  ,0.93  ,33.13 ,0.135 ,16.6  ,4.27  ,13.3  ,0.104 ,0.257 ,469   , 87.3 ,18.0  ,3.2   , 5.0  ,1.52  ,.     , 17   , 79.3 ,.     ,  6   ,.     ,  7.1 ,1.04  ,50.2  , 14.4 ,31.7  , 3.79 ,35.5  , 0.71 ,0.16  ,17.7  ,16.9  ,0.32  ,0.86  ,14.21 ,0.20  ,11.4  ,0.37  , 0.00 , 2.37 ,0.29  ,0.94  , 2.56 ,11.44 ,0.48  ,1.66  ,18.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZM,F,2,170   ,47.2  ,122.8 ,126.5 ,68.7  ,4.4   ,8.13  , 4.50 , 39.9 ,18.10 , 8.90 ,65.4  ,4.28  , 936  ,310   , 7.80 , 99.1 , 8.60 , 6.80 ,37.00 , 7.10 , 3.10 , 7.80 , 8.6  ,1.35  ,30.67 ,0.099 ,14.2  ,3.53  ,13.3  ,0.105 ,0.249 ,432   ,105.7 ,16.7  ,3.6   , 7.1  ,1.42  ,.     , 17   , 82.8 ,.     , 21   ,.     ,  7.1 ,1.08  ,46.5  , 19.0 ,27.5  , 7.08 ,34.5  , 0.74 ,0.23  ,17.7  ,17.4  ,0.41  ,1.54  , 9.21 ,0.20  ,12.1  ,0.40  , 1.28 , 4.98 ,1.20  ,0.81  , 5.06 ,11.11 ,0.52  ,1.97  ,13.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
