County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
IE,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IE,F,3,  4.81, 44.98, 89.13,132.54,  7.06, 45.45, 86.60,  6.61, 45.95, 45.44, 26.04, 40.26,  0.95,  0.00,  3.46, 31.87,  0.47,  2.98,  0.41,  0.68,  0.00, 13.75,  2.56,  0.00,  3.51,  1.27,  8.14, 50.66, 22.90,  5.44, 70.87,  7.86,  0.00,  0.00,.     , 28.99, 15.84, 15.23,  6.60,  6.76,  1.94,  7.78,  2.84, 12.82, 11.17,  0.95,  0.00,  1.51,  2.93,  1.75, 10.07,  2.96,  4.74,  0.95,  0.00,  1.62,  3.47,  3.79,  1.48,  0.00,  7.77,  5.42, 26.51,  0.89,104.95,  2.90, 43.41, 19.75, 98.72, 18.15,  3.80, 90.18,  5.02, 66.69,  6.65,  0.00,  0.00,  3.81, 44.75,  9.25,115.62, 12.01, 14.17,.     , 14.17, 14.17,  2.63,  0.00,  1.27,  0.98,  0.36,  7.08, 34.61, 15.06,  3.96,  6.54, 15.96,  3.40, 10.97, 30.38,  0.36,  0.00, 14.98,  0.49, 24.07, 15.60,  8.46,  5.97,  0.66,  3.32,  0.00,  2.99,  3.98,  1.49,  0.83,  0.50,  0.00,  0.33,  3.98,
IE,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IE,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IE,T,3,  5.88, 52.55,136.81,177.16, 11.34, 65.37,114.33, 10.72, 62.84, 61.94, 33.27, 67.11,  2.02,  0.77,  3.71, 57.91,  0.42,  1.49,  0.38,  0.34,  0.00, 25.91,  4.49,  0.35,  4.73,  3.61, 17.46, 87.67, 20.62, 16.70,171.04, 16.07,  3.40,  1.41,.     ,.     ,.     ,.     ,  8.22, 12.87,  2.22, 10.57,  2.42,  8.99,  7.86,  0.95,  0.00,  1.51,  1.98,  3.71, 10.28,  2.89,  6.99,  0.97,  0.00,  1.82,  3.97,  5.81,  1.86,  0.00,  6.24, 11.11, 39.76,  1.78,126.32,  4.03, 60.60, 24.19,199.35, 22.08,  3.90,192.58,  9.32,114.80, 14.44,  0.00,  0.39,  6.77, 86.61, 23.46,257.65,  9.37, 17.87,.     ,.     , 16.55,.     ,.     ,  3.24,  3.19,  1.05,  5.39, 52.37, 29.83,  4.03,  9.61, 26.26,  6.98,  9.73, 32.12,  0.73,  0.00, 17.49,.     , 29.39, 18.42, 10.97,  7.27,  1.20,  3.25,  0.08,  2.69,  4.45,  1.61,  1.21,  0.41,  0.00,  0.25,  6.50,
IF,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,M,3,  7.05, 71.35,131.50,196.29, 11.70, 62.51,131.44, 11.07, 64.85, 62.84, 30.93, 81.58,  1.06,  2.70,  2.85, 63.77,  0.00,  3.26,  0.43,  2.19,  0.00, 28.67,  5.62,  0.68,  4.00,  4.00, 50.96, 83.48, 14.13, 15.98,231.67, 12.47,  8.24,  0.00,112.51,.     ,.     ,.     ,  9.06,  9.61,  4.36, 10.62,  2.55,  5.52,  5.52,  2.12,  0.00,  0.00,  4.70,  3.61, 10.41,  4.01,  0.58,  0.00,  1.06,  3.10,  0.58,  4.94,  1.48,  0.00,  4.75,  3.81, 37.50,  0.43, 96.78,  4.52, 50.81, 22.03,220.01, 21.29,  4.80,213.14,  6.39, 58.51,  6.95,  0.68,  4.46,  4.70, 44.79, 20.68,276.46,  2.98, 19.05, 19.05,.     , 12.09,.     ,.     ,  0.00,  0.00,  0.80,  1.85, 58.94, 48.86,  7.64, 12.65, 25.67, 11.43,  5.01, 13.98,  0.90,  0.00, 24.60,.     , 35.27, 25.62,  9.65,  7.24,  1.11,  3.53,  0.00,  3.34, 10.95,  3.71,  3.16,  1.67,  0.00,  0.74,  3.90,
IF,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,F,3,  5.31, 50.33, 81.99,137.06,  5.82, 37.54, 95.98,  5.49, 41.07, 33.12, 26.49, 26.90,  0.85,  2.42,  1.16, 17.85,  1.43,  0.00,  0.00,  0.78,  0.00, 14.89,  2.59,  0.00,  1.69,  1.69,  9.70, 64.34, 18.64,  4.93, 67.87,  4.75,  0.91,  0.00,.     , 41.30, 10.34, 12.38,  5.11,  7.72,  2.42,  5.12,  3.27,  9.40,  8.63,  1.65,  0.00,  1.07,  2.27,  3.39,  7.85,  3.99,  2.41,  1.40,  3.18,  2.89,  0.63,  1.62,  1.01,  0.77, 10.97,  2.55, 22.09,  0.85, 64.76,  0.77, 36.51, 19.91, 77.22, 17.97,  0.89, 75.56,  1.15, 44.88,  1.69,  0.78,  3.38,  0.00, 21.69,  4.93, 89.55, 16.87, 10.63,.     , 10.63,  9.84,  3.33,  0.95,  2.30,  1.56,  0.85,  0.78, 33.22, 18.43,  1.16,  5.06, 15.85,  7.29,  7.85, 13.91,  0.00,  0.78, 17.33,  0.82, 26.54, 17.89,  8.65,  6.15,  0.38,  2.88,  0.19,  1.54,  6.15,  1.73,  2.69,  0.77,  0.00,  0.58,  3.46,
IF,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IF,T,3,  6.18, 60.84,106.75,166.68,  8.76, 50.02,113.71,  8.28, 52.96, 47.98, 28.71, 54.24,  0.96,  2.56,  2.00, 40.81,  0.71,  1.63,  0.21,  1.49,  0.00, 21.78,  4.11,  0.34,  2.85,  2.85, 30.33, 73.91, 16.39, 10.46,149.77,  8.61,  4.58,  0.00,.     ,.     ,.     ,.     ,  7.09,  8.66,  3.39,  7.87,  2.91,  7.46,  7.08,  1.89,  0.00,  0.54,  3.49,  3.50,  9.13,  4.00,  1.50,  0.70,  2.12,  3.00,  0.60,  3.28,  1.25,  0.39,  7.86,  3.18, 29.80,  0.64, 80.77,  2.65, 43.66, 20.97,148.62, 19.63,  2.84,144.35,  3.77, 51.70,  4.32,  0.73,  3.92,  2.35, 33.24, 12.80,183.00,  9.93, 14.84,.     ,.     , 10.96,.     ,.     ,  1.15,  0.78,  0.83,  1.32, 46.08, 33.65,  4.40,  8.86, 20.76,  9.36,  6.43, 13.95,  0.45,  0.39, 20.96,.     , 30.91, 21.76,  9.15,  6.70,  0.75,  3.21,  0.10,  2.44,  8.55,  2.72,  2.93,  1.22,  0.00,  0.66,  3.68,
IG,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,M,3,  2.83, 36.67,157.28,140.72, 19.93, 93.10, 90.54, 18.87, 50.18,106.60, 17.25,118.62,  0.29,  2.13,  2.63, 67.77,  0.65,  1.54,  1.40, 12.60, 23.79, 36.52, 11.09,  2.87,  2.12,  2.12,286.90,390.95, 22.85, 22.42,256.21,  9.10,  3.22,  2.59, 78.83,.     ,.     ,.     , 13.72,  6.56,  3.53,  8.12,  1.71,  7.43,  5.18,  0.00,  0.00,  0.55,  2.53,  1.35,  4.16,  5.58,  6.49,  0.96,  0.00,  3.17,  3.27,  7.30,  2.66,  2.08, 14.97, 13.62, 42.48,  1.14,174.66,  6.17, 91.10,  9.19,290.04,  8.44,  5.12,283.95,  2.85, 68.88, 32.23,  0.00,  7.28,  3.38, 32.78, 25.80,288.99,  2.97, 11.82, 11.82,.     , 10.29,.     ,.     ,  2.53,  0.00,  0.48,  0.85, 41.57, 70.49,  9.67, 27.22, 15.36,  7.05,  7.44, 35.08,  1.18,  1.03,  9.05,.     , 14.13,  9.45,  4.68,  2.54,  0.30,  1.52,  0.10,  0.81,  3.05,  0.81,  1.02,  0.20,  0.20,  0.00,  2.13,
IG,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,F,3,  2.75, 18.08,106.13,105.12, 11.78, 58.23, 63.27, 11.04, 41.85, 73.51, 22.12, 39.57,  1.55,  0.82,  1.22, 23.40,  0.50,  0.76,  0.93,  2.21,  5.00, 14.03,  6.70,  3.45,  4.52,  1.93,219.53,208.94, 12.96,  5.99,111.73,  8.99,  1.80,  1.17,.     , 36.36,  9.82, 16.81,  5.48,  8.43,  2.30,  5.95,  0.00,  8.00,  8.00,  0.00,  0.00,  0.94,  1.40,  1.62,  9.36,  4.01,  6.60,  0.31,  1.40,  3.08,  5.01,  3.12,  2.07,  0.97, 33.30, 10.57, 26.45,  0.44,124.03,  2.68, 82.93, 15.96,131.79, 13.53,  3.58,128.21,  1.00, 24.80,  6.65,  0.00,  0.00,  1.33, 15.66,  7.33,127.40,  3.93,  7.25,.     ,  7.25,  6.08,  1.43,  0.00,  0.62,  0.00,  0.81,  0.00, 20.89, 29.28,  2.71,  8.08,  7.46,  3.76, 20.68, 43.41,  0.28,  0.82,  9.27,  0.14, 13.76, 10.29,  3.47,  4.33,  0.65,  0.33,  0.00,  0.22,  3.25,  0.87,  0.76,  0.43,  0.22,  0.00,  1.52,
IG,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
IG,T,3,  2.79, 27.38,131.71,122.92, 15.86, 75.66, 76.91, 14.96, 46.02, 90.06, 19.69, 79.09,  0.92,  1.47,  1.93, 45.59,  0.58,  1.15,  1.17,  7.41, 14.39, 25.28,  8.89,  3.16,  3.32,  2.02,253.22,299.94, 17.91, 14.21,183.97,  9.04,  2.51,  1.88,.     ,.     ,.     ,.     ,  9.60,  7.50,  2.92,  7.04,  0.85,  7.71,  6.59,  0.00,  0.00,  0.74,  1.96,  1.49,  6.76,  4.79,  6.54,  0.64,  0.70,  3.13,  4.14,  5.21,  2.37,  1.53, 24.13, 12.10, 34.46,  0.79,149.34,  4.42, 87.02, 12.58,210.92, 10.98,  4.35,206.08,  1.93, 46.84, 19.44,  0.00,  3.64,  2.35, 24.22, 16.57,208.20,  3.45,  9.54,.     ,.     ,  8.19,.     ,.     ,  1.57,  0.00,  0.65,  0.42, 31.23, 49.88,  6.19, 17.65, 11.41,  5.41, 14.06, 39.24,  0.73,  0.93,  9.16,.     , 13.95,  9.87,  4.08,  3.44,  0.48,  0.93,  0.05,  0.52,  3.15,  0.84,  0.89,  0.32,  0.21,  0.00,  1.82,
JA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
JA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
JA,M,3,  4.68,102.36,181.66,199.84, 16.68, 48.18,122.16, 15.58, 77.69,110.80, 41.58,205.95,  0.63,  5.04,  6.42,106.81,  0.68,  2.94,  0.32,  7.40, 31.16, 21.71,  7.10,  1.60,  6.71,  5.50,244.03,260.54, 15.55,  5.32,110.84,  3.74,  4.41,  2.07, 36.30,.     ,.     ,.     ,  2.64,  7.19,  6.93,  6.57,  1.68,  7.52,  7.52,  1.31,  0.00,  0.32,  0.00,  6.68, 11.28,  8.36,  8.01,  7.11,  4.02,  5.91,  3.02,  5.15,  2.59,  2.13, 14.09,  6.29, 26.44,  1.70,207.25,  3.45, 51.57, 14.45,274.32, 14.08,  2.73,267.76,  8.37, 48.90, 12.94,  6.97,  2.15,  2.40, 30.49,  7.72,141.33,  1.88,  9.19,  9.19,.     ,  6.00,.     ,.     ,  2.45,  2.07,  5.80, 19.32, 59.36, 67.54,  8.30, 22.40, 24.01, 13.09, 15.89, 41.35,  2.44,  1.90, 13.17,.     , 23.38, 18.30,  5.07,  4.41,  1.32,  2.32,  0.22,  1.32,  4.52,  0.88,  1.43,  0.11,  0.00,  0.33,  2.87,
