County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
AB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,3,  4.07, 43.33, 94.72,124.64, 15.37, 92.53, 81.23, 14.45, 43.42, 92.30, 16.74,177.20,  0.33,  1.56,  1.00, 43.95,  0.00,  0.00,  3.70, 40.44, 83.17, 14.60,  6.07,  0.00,  7.10,  6.52, 63.76,166.30, 45.71,  2.34,125.01, 13.59,  5.43,  2.03,122.81,.     ,.     ,.     , 10.80,  4.74,  5.48,  8.54,  1.06,  8.02,  8.02,  0.00,  0.00,  1.46,  0.00,  2.38,  2.31,  3.08,  4.66,  0.00,  0.00,  2.36,  3.26,  2.98,  2.43,  0.66, 12.48,  7.65, 25.16,  0.66,196.62,  2.32, 46.26,  5.76,356.11,  3.67,  3.98,352.14,  1.71, 30.91, 15.68,  0.97,  0.65,  3.70, 42.76,  6.04,167.77,  6.30, 10.44, 10.44,.     , 10.44,.     ,.     ,  0.00,  0.77,  0.81,  6.15, 35.37, 64.41, 11.05, 24.63, 14.80, 10.11,  7.72, 27.12,  0.33,  0.77, 12.95,.     , 20.35, 16.05,  4.30,  0.99,  0.00,  3.31,  0.50,  1.82,  9.60,  4.47,  0.83,  0.66,  0.00,  0.00,  3.47,
AB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,3,  3.20, 32.98, 77.51, 99.40,  8.27, 57.23, 66.20,  7.64, 33.21, 62.97, 13.66, 96.79,  1.99,  0.94,  0.34,  7.11,  0.00,  1.31,  1.50,  9.36, 71.67, 14.67,  2.92,  0.00,  0.94,  0.94, 22.83, 57.80, 38.71,  1.82, 79.61,  9.96,  1.31,  0.78,.     , 32.00,  6.37,  9.99,  4.35,  4.62,  2.81,  8.84,  0.00,  8.54,  8.54,  0.00,  0.00,  1.34,  1.42,  1.84,  8.73,  0.72,  2.09,  0.00,  0.61,  0.38,  2.09,  2.71,  1.71,  1.31, 16.15,  6.21, 17.08,  0.72,131.42,  1.99, 39.45,  6.30,138.81,  4.92,  3.04,135.77,  0.50, 21.52,  4.34,  1.31,  3.56,  2.00, 11.45,  3.82, 91.06,  7.24, 20.37,.     , 20.37, 20.37,  1.02,  0.00,  1.61,  1.92,  0.00,  1.59, 19.99, 26.27,  7.36,  8.23, 10.05,  8.57, 12.87, 34.46,  0.34,  2.25, 10.27,  0.22, 15.99, 13.00,  2.99,  1.58,  0.18,  3.69,  0.70,  2.11,  6.33,  3.16,  0.18,  1.41,  0.00,  0.00,  2.28,
AB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,3,  3.64, 38.16, 86.12,112.02, 11.82, 74.88, 73.72, 11.04, 38.32, 77.64, 15.20,137.00,  1.16,  1.25,  0.67, 25.53,  0.00,  0.66,  2.60, 24.90, 77.42, 14.63,  4.50,  0.00,  4.02,  3.73, 43.30,112.05, 42.21,  2.08,102.31, 11.78,  3.37,  1.41,.     ,.     ,.     ,.     ,  7.58,  4.68,  4.15,  8.69,  0.53,  8.28,  8.28,  0.00,  0.00,  1.40,  0.71,  2.11,  5.52,  1.90,  3.38,  0.00,  0.30,  1.37,  2.67,  2.85,  2.07,  0.99, 14.31,  6.93, 21.12,  0.69,164.02,  2.15, 42.86,  6.03,247.46,  4.29,  3.51,243.96,  1.10, 26.21, 10.01,  1.14,  2.10,  2.85, 27.11,  4.93,129.42,  6.77, 15.41,.     ,.     , 15.41,.     ,.     ,  0.81,  1.34,  0.41,  3.87, 27.68, 45.34,  9.21, 16.43, 12.43,  9.34, 10.29, 30.79,  0.34,  1.51, 11.61,.     , 18.17, 14.53,  3.65,  1.29,  0.09,  3.50,  0.60,  1.97,  7.96,  3.81,  0.51,  1.03,  0.00,  0.00,  2.88,
AC,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
