County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
ZB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,M,3,  1.80, 42.42,146.06,121.35, 11.21, 58.36, 50.72,  9.87, 70.63,133.42,  2.45, 39.98,  0.88,  0.43,  0.27, 28.94,  0.00,  0.59,  0.09,  0.49,  0.00, 10.43,  2.95,  9.88, 16.64, 12.62, 11.76, 33.26, 22.10,  2.47, 84.75,  7.54,  4.09,  2.80, 61.91,.     ,.     ,.     ,  6.30,  2.34,  4.55,  0.70, 42.99, 40.30,  0.17,  0.57,  0.83,  2.49,  0.35,  2.09,  3.72,  7.50,  0.47,  1.41,  0.71,  0.65,  5.42,  3.54,  0.17,  3.26, 41.28, 53.06,  1.67,179.07,  3.75,175.13,  4.49, 58.72,  3.45, 18.89, 35.66,  3.31,102.30,  5.71,  0.09,  1.79,  2.73, 78.10,  5.20,162.84,  2.79, 24.48, 24.48,.     , 22.22,.     ,.     ,  1.03,  1.73,  4.88, 34.55, 61.26,113.93, 33.27, 62.20,  9.50,  9.87,  5.68, 16.02,  3.50,  3.48,  6.98,.     ,  9.02,  6.88,  2.13,  0.78,  0.29,  2.03,  0.14,  1.34,  1.42,  0.78,  0.03,  0.21,  0.00,  0.00,  0.42,
ZB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,F,3,  1.49, 22.27, 62.24, 63.18,  7.46, 46.53, 38.81,  6.82, 24.37, 63.69,  2.38, 15.42,  0.46,  0.37,  0.49,  7.49,  0.05,  0.47,  0.00,  0.20,  0.00,  7.91,  1.94,  1.48,  4.64,  4.32,  1.54, 18.98, 19.27,  0.44, 24.63,  4.78,  1.79,  0.22,.     , 29.61, 17.73, 28.48,  5.38,  1.99,  3.64,  0.59, 58.00, 55.03,  0.09,  0.65,  0.73,  1.67,  0.23,  1.27,  2.47,  7.03,  0.32,  0.90,  0.45,  1.05,  3.39,  2.48,  0.14,  4.13, 28.25, 27.77,  1.26,133.35,  2.13,114.35,  3.07, 30.87,  2.42, 11.86, 17.58,  1.87, 50.28,  2.42,  0.00,  0.47,  1.11, 34.39,  1.56, 59.01,  4.39, 29.83,.     , 29.83, 28.05,  0.25,  0.24,  1.93,  4.00,  3.29, 24.11, 20.74, 48.34,  9.29, 26.04,  3.02,  3.56,  2.87, 13.76,  0.76,  1.50,  6.02,  0.10,  7.44,  5.76,  1.68,  0.57,  0.15,  1.79,  0.20,  1.25,  1.34,  0.77,  0.07,  0.13,  0.00,  0.00,  0.26,
ZB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZB,T,3,  1.65, 32.34,104.15, 92.27,  9.34, 52.45, 44.77,  8.35, 47.50, 98.55,  2.42, 27.70,  0.67,  0.40,  0.38, 18.21,  0.03,  0.53,  0.04,  0.35,  0.00,  9.17,  2.45,  5.68, 10.64,  8.47,  6.65, 26.12, 20.69,  1.46, 54.69,  6.16,  2.94,  1.51,.     ,.     ,.     ,.     ,  5.84,  2.17,  4.09,  0.65, 50.50, 47.66,  0.13,  0.61,  0.78,  2.08,  0.29,  1.68,  3.10,  7.27,  0.40,  1.16,  0.58,  0.85,  4.41,  3.01,  0.16,  3.69, 34.77, 40.41,  1.47,156.21,  2.94,144.74,  3.78, 44.80,  2.94, 15.38, 26.62,  2.59, 76.29,  4.07,  0.04,  1.13,  1.92, 56.24,  3.38,110.92,  3.59, 27.16,.     ,.     , 25.14,.     ,.     ,  1.48,  2.87,  4.08, 29.33, 41.00, 81.14, 21.28, 44.12,  6.26,  6.71,  4.28, 14.89,  2.13,  2.49,  6.50,.     ,  8.23,  6.32,  1.91,  0.68,  0.22,  1.91,  0.17,  1.30,  1.38,  0.78,  0.05,  0.17,  0.00,  0.00,  0.34,
ZC,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZC,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
