County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M013, M014, M015, M016, M017, M018, M019, M020, M021, M022, M023, M024, M025, M026, M027, M028, M029, M030, M031, M032, M033, M034, M035, M036, M037, M038, M040, M041, M042, M043, M044, M045, M046, M047, M048, M049, M050, M051, M052, M053, M054, M055, M056, M057, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M076, M077, M078, M079, M080, M081, M082, M083, M084, M085, M086, M087, M088, M089, M090, M091, M092, M093, M094, M095, M096, M097, M098, M099, M100, M101, M102, M103, M104, M105, M106, M107, M108, M109, M110, M111, M112, M113, M114, M115, M116, M117, M118, M119, 
ZC,M,3,  1.77, 41.51,144.27,119.54, 10.92, 61.29, 48.01,  9.54, 71.53,138.39,  2.43, 40.37,  0.60,  0.62,  0.34, 28.14,  0.16,  1.01,  0.11,  0.38,  0.00,  9.94,  2.80,  6.26, 18.45, 13.66, 13.15, 35.75, 17.99,  2.32, 74.77,  8.60,  2.95,  2.82, 58.44,.     ,.     ,.     ,  7.17,  2.61,  4.11,  0.57, 38.62, 35.69,  0.03,  1.06,  0.48,  1.91,  0.27,  3.13,  4.01,  8.46,  0.40,  1.49,  0.54,  1.38,  5.53,  3.49,  0.34,  4.20, 34.75, 63.47,  2.16,181.52,  3.37,167.18,  4.44, 63.82,  3.27, 21.45, 35.98,  3.96, 97.37,  7.95,  0.00,  1.35,  3.09, 70.91,  5.41,145.68,  2.91, 23.20, 23.20,.     , 21.04,.     ,.     ,  1.93,  2.23,  3.50, 26.60, 63.58,116.21, 34.02, 68.53, 11.36,  7.14,  5.56, 18.92,  2.32,  2.97,  6.35,.     ,  8.83,  6.35,  2.49,  0.84,  0.20,  1.98,  0.20,  1.27,  1.29,  0.58,  0.07,  0.21,  0.00,  0.00,  0.71,
ZC,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZC,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZC,F,3,  1.43, 27.36, 64.83, 65.30,  7.05, 45.49, 37.68,  6.43, 27.61, 61.99,  1.27, 16.53,  0.40,  0.26,  0.11,  7.91,  0.00,  0.47,  0.00,  0.15,  0.00,  7.68,  1.87,  0.99,  6.10,  5.49,  1.63, 17.96, 18.72,  0.47, 22.03,  4.64,  1.67,  0.35,.     , 31.62, 15.79, 28.26,  5.29,  1.91,  4.17,  0.49, 56.69, 54.86,  0.06,  0.59,  0.51,  1.70,  0.23,  2.55,  2.88,  6.47,  0.39,  0.87,  0.38,  0.76,  3.86,  2.39,  0.18,  6.34, 25.34, 35.99,  1.62,133.95,  2.24,105.49,  3.32, 32.49,  2.25, 12.23, 17.81,  1.15, 41.37,  3.24,  0.00,  1.13,  0.68, 26.06,  1.15, 48.09,  3.06, 23.48,.     , 23.48, 21.86,  0.31,  0.00,  2.34,  3.45,  2.59, 15.00, 22.71, 49.13, 11.38, 28.31,  2.82,  4.08,  4.01, 12.08,  0.79,  0.72,  5.49,  0.07,  7.15,  5.35,  1.80,  0.53,  0.11,  1.93,  0.15,  1.18,  1.24,  0.74,  0.03,  0.16,  0.00,  0.02,  0.28,
ZC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZC,T,3,  1.60, 34.44,104.55, 92.42,  8.98, 53.39, 42.84,  7.98, 49.57,100.19,  1.85, 28.45,  0.50,  0.44,  0.23, 18.03,  0.08,  0.74,  0.06,  0.27,  0.00,  8.81,  2.33,  3.63, 12.28,  9.58,  7.39, 26.86, 18.36,  1.40, 48.40,  6.62,  2.31,  1.58,.     ,.     ,.     ,.     ,  6.23,  2.26,  4.14,  0.53, 47.66, 45.27,  0.04,  0.83,  0.49,  1.80,  0.25,  2.84,  3.44,  7.47,  0.40,  1.18,  0.46,  1.07,  4.70,  2.94,  0.26,  5.27, 30.05, 49.73,  1.89,157.74,  2.81,136.34,  3.88, 48.16,  2.76, 16.84, 26.89,  2.56, 69.37,  5.60,  0.00,  1.24,  1.89, 48.48,  3.28, 96.89,  2.99, 23.34,.     ,.     , 21.45,.     ,.     ,  2.13,  2.84,  3.04, 20.80, 43.15, 82.67, 22.70, 48.42,  7.09,  5.61,  4.79, 15.50,  1.55,  1.85,  5.92,.     ,  7.99,  5.85,  2.15,  0.69,  0.15,  1.96,  0.18,  1.23,  1.27,  0.66,  0.05,  0.18,  0.00,  0.01,  0.49,
ZD,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,M,3,  2.86, 65.84,201.97,175.04,  9.97, 51.76, 65.93,  8.34,109.11,162.70,  6.93, 26.15,  3.60,  0.00,  2.05, 14.48,  0.00,  0.00,  0.00,  0.94,  0.00,  9.39,  2.22,  1.75, 14.69, 14.69,  6.02, 34.76, 14.16,  1.50, 63.25,  7.15,  5.57,  4.10, 34.52,.     ,.     ,.     , 12.41,  1.69,  7.73,  1.14, 25.36, 25.36,  0.00,  0.00,  0.54,  6.99,  0.00,  4.64,  1.66,  2.13,  1.06,  0.00,  0.00,  0.00,  6.42,  3.50,  0.00,  4.96, 25.01, 76.18,  3.19,174.20,  3.23,175.35,  7.16, 50.12,  6.66, 17.05, 34.14,  4.83, 78.44,  3.96,  0.00,  0.00,  3.83, 58.46,  5.33,121.71,  0.00, 22.74, 22.74,.     , 22.74,.     ,.     ,  0.00,  3.80,  7.45, 25.46, 98.61,132.02, 61.77, 69.82, 13.70,  7.60,  7.09, 28.75,  3.41,  1.93,  9.49,.     , 14.29, 11.55,  2.73,  1.89,  1.26,  1.68,  0.21,  0.42,  3.57,  2.31,  0.21,  0.42,  0.00,  0.00,  1.26,
ZD,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,F,3,  2.13, 61.44, 93.88,101.68,  7.08, 48.88, 54.67,  6.38, 47.01, 70.62,  2.20, 16.05,  1.33,  2.37,  0.00,  6.98,  0.00,  0.00,  0.00,  0.00,  0.00,  5.71,  1.57,  1.26,  4.49,  4.49,  1.31, 18.93, 16.60,  0.88, 13.95,  8.62,  1.75,  0.00,.     , 20.48,  9.09, 31.76,  8.44,  1.98,  2.93,  0.00, 45.91, 44.16,  0.00,  0.00,  0.64,  0.00,  0.00,  0.00,  3.97,  7.63,  0.00,  0.00,  0.00,  0.00,  5.31,  3.10,  0.00,  2.74, 18.29, 39.12,  1.54,198.49,  3.77,111.96,  7.29, 22.78,  5.75, 10.74,  9.23,  1.30, 27.50,  1.75,  0.00,  0.00,  1.30, 19.50,  2.18, 33.45,  0.00, 18.97,.     , 18.97, 18.97,  0.00,  0.00,  4.12,  1.43,  6.66, 18.00, 38.01, 58.43, 14.31, 32.96,  7.40,  2.40,  6.99, 10.88,  1.47,  1.31,  7.99,  0.00, 10.67,  8.81,  1.86,  1.16,  0.46,  2.55,  0.23,  1.16,  2.32,  1.16,  0.00,  0.46,  0.00,  0.00,  0.00,
ZD,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZD,T,3,  2.50, 63.64,147.93,138.36,  8.53, 50.32, 60.30,  7.36, 78.06,116.66,  4.57, 21.10,  2.47,  1.19,  1.02, 10.73,  0.00,  0.00,  0.00,  0.47,  0.00,  7.55,  1.90,  1.51,  9.59,  9.59,  3.67, 26.84, 15.38,  1.19, 38.60,  7.88,  3.66,  2.05,.     ,.     ,.     ,.     , 10.43,  1.83,  5.33,  0.57, 35.63, 34.76,  0.00,  0.00,  0.59,  3.50,  0.00,  2.32,  2.81,  4.88,  0.53,  0.00,  0.00,  0.00,  5.87,  3.30,  0.00,  3.85, 21.65, 57.65,  2.37,186.34,  3.50,143.66,  7.23, 36.45,  6.21, 13.90, 21.69,  3.06, 52.97,  2.85,  0.00,  0.00,  2.56, 38.98,  3.76, 77.58,  0.00, 20.86,.     ,.     , 20.86,.     ,.     ,  2.06,  2.61,  7.06, 21.73, 68.31, 95.23, 38.04, 51.39, 10.55,  5.00,  7.04, 19.82,  2.44,  1.62,  8.74,.     , 12.48, 10.18,  2.29,  1.52,  0.86,  2.11,  0.22,  0.79,  2.94,  1.74,  0.10,  0.44,  0.00,  0.00,  0.63,
ZE,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,M,3,  2.20, 64.69,179.04,152.25, 10.52, 57.93, 61.78,  8.61, 90.47,190.71,  2.91, 32.36,  1.40,  1.40,  0.00, 15.40,  0.00,  0.00,  0.00,  1.48,  0.00,  8.86,  2.07,  5.21, 27.39, 25.52,  5.49, 17.36, 19.10,  1.58, 50.44,  1.40,  4.01,  0.00, 30.86,.     ,.     ,.     ,  5.31,  0.96,  5.31,  0.89, 31.00, 27.52,  0.00,  3.49,  0.89,  1.40,  0.00,  2.78,  3.68,  4.27,  0.79,  0.00,  0.61,  2.79,  9.17,  3.48,  0.00,  1.40,  8.49, 78.07,  2.39,178.20,  6.78,170.21,  9.57, 66.27,  7.31, 17.91, 55.15,  5.39,100.31, 23.59,  0.00,  0.00,  3.88, 68.50,  5.46,118.94,  0.00, 12.66, 12.66,.     , 10.05,.     ,.     ,  0.00,  3.73,  2.02, 27.53, 80.88,153.24, 48.16, 88.76, 12.34,  6.26,  8.02, 34.87,  1.57,  2.60,  6.42,.     , 11.01,  7.71,  3.30,  1.65,  0.28,  2.20,  0.83,  0.55,  2.75,  0.55,  0.00,  0.83,  0.00,  0.00,  1.38,
ZE,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,F,3,  2.19, 39.69, 94.27, 96.53,  7.19, 39.24, 57.02,  6.43, 39.51, 75.81,  4.02,  8.10,  1.69,  0.00,  0.00,  0.00,  0.81,  0.00,  0.00,  0.00,  0.00, 14.76,  1.62,  0.00,  6.06,  6.06,  0.00, 24.26, 15.30,  0.00, 15.25,  3.22,  4.38,  0.00,.     , 26.04, 11.28, 24.46,  6.45,  4.72,  3.22,  0.00, 57.17, 50.95,  0.00,  0.00,  1.52,  2.77,  0.00,  1.70,  2.45,  4.84,  0.00,  0.00,  0.00,  2.77,  2.07,  2.67,  0.00,  6.45, 13.69, 44.99,  1.23,143.20,  0.85,123.96,  6.96, 21.91,  2.54, 16.37,  8.31,  3.68, 48.48,  6.93,  0.00,  5.54,  3.68, 28.39,  3.68, 43.64,  0.00, 28.97,.     , 28.97, 28.97,  1.23,  0.00,  0.00,  1.64,  2.50, 25.17, 26.84, 51.76,  9.27, 40.45,  8.04,  3.25, 11.83, 24.05,  0.85,  0.00,  7.03,  0.15, 10.96,  8.30,  2.67,  0.89,  0.59,  3.56,  0.00,  2.67,  1.19,  0.30,  0.00,  0.59,  0.00,  0.00,  0.89,
ZE,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ZE,T,3,  2.20, 52.19,136.66,124.39,  8.86, 48.59, 59.40,  7.52, 64.99,133.26,  3.46, 20.23,  1.54,  0.70,  0.00,  7.70,  0.41,  0.00,  0.00,  0.74,  0.00, 11.81,  1.84,  2.60, 16.73, 15.79,  2.75, 20.81, 17.20,  0.79, 32.84,  2.31,  4.20,  0.00,.     ,.     ,.     ,.     ,  5.88,  2.84,  4.26,  0.45, 44.09, 39.23,  0.00,  1.75,  1.21,  2.08,  0.00,  2.24,  3.07,  4.55,  0.40,  0.00,  0.30,  2.78,  5.62,  3.08,  0.00,  3.93, 11.09, 61.53,  1.81,160.70,  3.81,147.09,  8.27, 44.09,  4.92, 17.14, 31.73,  4.54, 74.39, 15.26,  0.00,  2.77,  3.78, 48.45,  4.57, 81.29,  0.00, 20.82,.     ,.     , 19.51,.     ,.     ,  0.00,  2.69,  2.26, 26.35, 53.86,102.50, 28.71, 64.61, 10.19,  4.75,  9.93, 29.46,  1.21,  1.30,  6.73,.     , 10.99,  8.01,  2.98,  1.27,  0.43,  2.88,  0.41,  1.61,  1.97,  0.43,  0.00,  0.71,  0.00,  0.00,  1.14,
ZF,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
