County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P012, P013, P014, P015, P025, P027, P028, P029, P030, P031, P032, P033, P034, P035, P036, P037, P041, P042, P044, P046, R001, R002, R003, R005, R006, R007, R008, R010, R011, R016, R019, R020, R021, R022, R023, R025, R026, U001, U002, U003, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, 
UA,M,2,138   ,42.4  , 95.1 , 88.8 , 63.9 , 3.8  ,7.79  , 0.00 , 7.2  ,54.0  ,3.17  , 530  , 44   ,0.80  ,0.091 ,22.2  ,2.32  ,10.5  ,0.102 ,0.123 , 77   ,458   ,212   , 68.1 ,14.6  , 700  , 17   ,   .  ,300   ,12.3  ,1.44  ,39.9  ,28.2  , 6.23 ,34.4  , 0.86 ,25.3  ,14.7  ,15.5  , 5.30 , 0.40 , 0.24 , 3.98 ,10.50 , 2.73 ,14.9  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
UA,M,3,134   ,44.0  , 89.0 , 88.9 , 65.0 , 3.8  ,7.83  , 0.00 ,13.5  ,56.1  ,2.90  , 508  , 30   ,1.08  ,0.097 ,22.2  ,2.31  ,11.2  ,0.101 ,0.117 , 75   ,324   ,232   , 70.3 ,13.5  , 725  , 22   ,.     ,258   ,13.0  ,1.47  ,46.2  ,21.8  , 4.90 ,26.6  , 0.61 ,28.3  ,17.9  ,13.1  , 8.37 , 0.49 , 0.23 , 2.68 , 7.46 , 2.57 ,11.7  , 6.2  ,1.59  , 3.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,F,1,120   ,44.1  , 76.2 , 87.3 , 62.3 , 3.6  ,8.20  , 0.00 ,14.7  ,39.4  ,2.89  , 616  , 20   ,1.80  ,0.106 ,19.6  ,2.79  ,10.6  ,0.098 ,0.080 ,  9   ,274   ,255   , 73.7 ,13.4  ,.     , 17   ,.     , 25   ,11.7  ,1.63  ,47.8  ,20.1  , 5.56 ,25.6  , 0.54 ,29.2  ,18.6  ,11.4  , 6.87 , 0.36 , 0.38 , 3.26 , 6.24 , 3.38 ,10.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,F,2,112   ,38.8  , 73.4 , 94.7 , 53.0 , 3.8  ,8.20  , 0.00 ,14.0  ,33.0  ,2.31  , 544  , 20   ,2.78  ,0.100 ,21.7  ,2.57  , 9.2  ,0.098 ,0.089 , 37   ,265   ,225   , 70.1 ,10.6  ,.     , 14   ,.     ,  0   ,11.8  ,1.61  ,36.4  ,24.9  , 7.34 ,32.2  , 0.89 ,23.4  ,13.0  ,14.5  , 7.30 , 0.46 , 0.46 , 4.23 , 9.14 , 3.18 ,12.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,F,3,116   ,41.5  , 74.8 , 91.0 , 57.6 , 3.7  ,8.20  , 0.00 ,14.3  ,36.2  ,2.60  , 580  , 20   ,2.29  ,0.103 ,20.7  ,2.68  , 9.9  ,0.098 ,0.085 , 23   ,270   ,240   , 71.9 ,12.0  ,.     , 16   ,.     , 13   ,11.8  ,1.62  ,42.1  ,22.5  , 6.45 ,28.9  , 0.72 ,26.3  ,15.8  ,13.0  , 7.08 , 0.41 , 0.42 , 3.75 , 7.69 , 3.28 ,11.5  , 6.8  ,1.22  , 3.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UA,T,3,125   ,42.7  , 81.9 , 90.0 , 61.3 , 3.8  ,8.02  , 0.00 ,13.9  ,46.2  ,2.75  , 544  , 25   ,1.69  ,0.100 ,21.4  ,2.49  ,10.5  ,0.100 ,0.101 , 49   ,297   ,236   , 71.1 ,12.7  ,.     , 19   ,.     ,135   ,12.4  ,1.55  ,44.2  ,22.1  , 5.67 ,27.8  , 0.66 ,27.3  ,16.9  ,13.0  , 7.73 , 0.45 , 0.33 , 3.21 , 7.58 , 2.93 ,11.6  , 6.5  ,1.41  , 3.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,M,1,132   ,41.3  , 90.2 ,103.7 , 59.3 , 3.9  ,7.71  , 0.37 ,17.2  ,71.7  ,3.17  , 731  , 20   ,0.89  ,0.104 ,16.4  ,2.17  ,11.4  ,0.128 ,0.114 , 59   ,359   ,222   , 70.1 ,14.6  , 693  ,  8   , 26.1 ,168   ,13.5  ,1.54  ,41.9  ,22.0  , 5.49 ,27.5  , 0.66 ,23.8  ,18.1  ,15.2  , 8.64 , 0.44 , 0.43 , 2.75 , 8.19 , 3.29 ,10.5  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
UB,M,2,121   ,44.2  , 77.1 , 94.4 , 65.5 , 3.8  ,7.73  , 1.52 , 7.6  ,50.5  ,3.59  , 626  , 20   ,0.62  ,0.099 ,17.7  ,2.29  ,11.1  ,0.109 ,0.100 , 62   ,331   ,231   , 73.5 ,14.6  , 809  , 13   , 60.9 ,170   ,13.9  ,1.55  ,42.6  ,21.8  , 7.05 ,28.8  , 0.68 ,24.9  ,17.6  ,14.2  , 7.16 , 0.38 , 0.65 , 3.93 , 7.41 , 3.15 ,11.2  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
UB,M,3,127   ,42.8  , 83.7 , 99.1 , 62.4 , 3.9  ,7.72  , 0.95 ,12.4  ,61.1  ,3.38  , 679  , 20   ,0.76  ,0.102 ,17.1  ,2.23  ,11.3  ,0.119 ,0.107 , 61   ,345   ,227   , 71.8 ,14.6  , 751  , 11   , 43.5 ,169   ,13.7  ,1.55  ,42.3  ,21.9  , 6.27 ,28.2  , 0.67 ,24.4  ,17.9  ,14.7  , 7.90 , 0.41 , 0.54 , 3.34 , 7.80 , 3.22 ,10.8  , 4.9  ,1.17  , 2.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
UB,F,1,121   ,58.1  , 62.5 ,105.6 , 59.0 , 3.7  ,7.83  , 1.04 ,19.0  ,50.5  ,2.89  , 710  , 20   ,1.04  ,0.104 ,18.1  ,2.45  ,10.0  ,0.124 ,0.106 , 47   ,369   ,204   , 64.3 ,12.0  ,.     , 20   ,.     , 30   ,12.8  ,1.46  ,40.2  ,25.6  , 5.89 ,31.5  , 0.78 ,28.6  ,11.6  ,14.9  , 7.85 , 0.95 , 0.52 , 2.15 ,10.06 , 1.66 ,13.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
