County, Sex, Xiang, P001, P002, P003, P004, P005, P006, P007, P008, P009, P012, P013, P014, P015, P025, P027, P028, P029, P030, P031, P032, P033, P034, P035, P036, P037, P041, P042, P044, P046, R001, R002, R003, R005, R006, R007, R008, R010, R011, R016, R019, R020, R021, R022, R023, R025, R026, U001, U002, U003, U012, U013, U015, U016, U017, U018, U019, U020, U021, U022, U023, U024, 
AA,M,1,137   ,44.7  , 92.0 , 99.9 , 63.8 , 4.2  ,7.60  , 0.00 , 3.4  ,55.8  ,4.47  , 665  , 88   ,0.21  ,0.113 ,20.0  ,2.01  ,12.2  ,0.133 ,0.152 , 93   ,344   ,195   , 84.1 ,15.7  , 765  ,  4   ,   .  ,109   ,14.4  ,1.50  ,37.0  ,25.7  , 9.71 ,35.4  , 0.96 ,20.7  ,16.3  ,15.1  ,10.34 , 1.25 , 0.83 , 5.60 , 9.26 , 1.88 ,14.5  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AA,M,2,155   ,55.9  , 99.2 ,111.2 , 61.0 , 4.0  ,7.60  , 3.14 , 4.3  ,43.4  ,3.59  , 585  , 39   ,1.41  ,0.084 ,13.5  ,2.11  ,11.1  ,0.116 ,0.105 ,107   ,582   ,206   , 79.6 ,15.7  , 634  , 45   ,   .  , 93   ,13.4  ,1.45  ,38.1  ,22.5  , 8.43 ,30.9  , 0.81 ,22.0  ,16.1  ,12.9  ,14.66 , 0.97 , 0.64 , 4.86 , 7.31 , 2.06 ,13.1  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AA,M,3,146   ,50.3  , 95.6 ,105.6 , 62.4 , 4.1  ,7.60  , 1.57 , 3.9  ,49.6  ,4.03  , 625  , 64   ,0.81  ,0.099 ,16.8  ,2.06  ,11.7  ,0.125 ,0.129 ,100   ,463   ,201   , 81.8 ,15.7  , 700  , 25   ,.     ,101   ,13.9  ,1.48  ,37.6  ,24.1  , 9.07 ,33.1  , 0.89 ,21.4  ,16.2  ,14.0  ,12.50 , 1.11 , 0.73 , 5.23 , 8.29 , 1.97 ,13.8  ,10.2  ,1.99  , 6.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,1,170   ,54.6  ,115.7 ,136.9 , 93.9 , 4.8  ,8.00  , 0.40 , 6.4  ,41.8  ,3.59  , 673  , 84   ,0.96  ,0.119 ,20.6  ,2.51  ,11.5  ,0.128 ,0.111 , 32   ,565   ,243   , 98.4 ,17.6  ,.     ,  0   ,.     ,  0   ,12.8  ,1.63  ,34.5  ,29.3  ,10.53 ,39.9  , 1.15 ,22.8  ,11.8  ,13.2  , 9.78 , 1.08 , 0.86 , 6.56 , 9.98 , 1.95 ,17.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,143   ,47.9  , 95.3 , 97.4 , 74.6 , 4.1  ,7.90  , 0.00 , 4.9  ,42.8  ,2.48  , 730  , 47   ,1.71  ,0.108 ,19.9  ,2.69  ,11.5  ,0.119 ,0.106 , 41   ,240   ,181   , 85.4 ,15.7  ,.     , 18   ,.     ,  0   ,12.7  ,1.66  ,41.4  ,22.5  , 6.64 ,29.2  , 0.70 ,26.0  ,15.3  ,13.3  ,13.98 , 0.95 , 0.43 , 3.89 , 7.36 , 2.05 ,13.1  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,157   ,51.3  ,105.5 ,117.2 , 84.3 , 4.5  ,7.95  , 0.20 , 5.7  ,42.3  ,3.04  , 702  , 66   ,1.33  ,0.114 ,20.3  ,2.60  ,11.5  ,0.123 ,0.108 , 37   ,403   ,212   , 91.9 ,16.7  ,.     ,  9   ,.     ,  0   ,12.8  ,1.65  ,38.0  ,25.9  , 8.58 ,34.5  , 0.92 ,24.4  ,13.6  ,13.3  ,11.88 , 1.02 , 0.65 , 5.22 , 8.67 , 2.00 ,15.3  , 7.6  ,2.15  , 4.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,151   ,50.8  ,100.6 ,111.4 , 73.3 , 4.3  ,7.78  , 0.89 , 4.8  ,46.0  ,3.53  , 663  , 65   ,1.07  ,0.106 ,18.5  ,2.33  ,11.6  ,0.124 ,0.119 , 68   ,433   ,206   , 86.9 ,16.2  ,.     , 17   ,.     , 51   ,13.3  ,1.56  ,37.8  ,25.0  , 8.83 ,33.9  , 0.91 ,22.9  ,14.9  ,13.6  ,12.19 , 1.06 , 0.69 , 5.23 , 8.48 , 1.99 ,14.5  , 8.9  ,2.07  , 5.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,1,143   ,40.2  ,103.0 ,100.8 , 77.3 , 4.3  ,7.40  , 0.00 , 6.2  ,45.7  ,3.03  , 673  ,  0   ,0.32  ,0.106 ,17.5  ,2.20  , 9.6  ,0.106 ,0.073 , 70   ,359   ,   .  , 80.2 ,12.9  , 523  ,  0   , 63.2 ,118   ,14.1  ,1.58  ,39.6  ,29.7  , 6.16 ,35.8  , 0.91 ,28.9  ,10.6  ,14.0  , 6.36 , 0.51 , 0.58 , 2.61 ,11.14 , 2.19 ,16.4  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AB,M,2,130   ,49.1  , 81.3 ,148.9 , 95.5 , 5.1  ,7.60  , 0.00 , 5.4  ,43.9  ,3.88  , 512  , 52   ,1.15  ,0.101 ,18.3  ,2.29  ,10.1  ,0.109 ,0.122 , 56   ,383   ,   .  ,110.3 ,15.7  , 643  , 10   , 30.8 ,109   ,15.5  ,1.37  ,44.6  ,22.5  , 5.36 ,27.9  , 0.63 ,26.4  ,18.2  ,14.8  , 8.41 , 1.02 , 0.33 , 2.62 , 8.95 , 1.43 ,12.1  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AB,M,3,137   ,44.7  , 92.2 ,124.9 , 86.4 , 4.7  ,7.50  , 0.00 , 5.8  ,44.8  ,3.46  , 593  , 26   ,0.73  ,0.104 ,17.9  ,2.25  , 9.8  ,0.107 ,0.098 , 63   ,371   ,.     , 95.3 ,14.3  , 583  ,  5   , 47.0 ,114   ,14.8  ,1.48  ,42.1  ,26.1  , 5.76 ,31.8  , 0.77 ,27.6  ,14.4  ,14.4  , 7.39 , 0.77 , 0.46 , 2.62 ,10.04 , 1.81 ,14.3  , 6.5  ,1.61  , 3.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,1,125   ,42.4  , 82.6 ,106.7 , 77.8 , 4.2  ,7.70  , 5.36 ,13.6  ,44.8  ,3.30  , 761  , 44   ,0.40  ,0.110 ,15.8  ,2.51  , 8.9  ,0.111 ,0.112 , 44   ,415   ,   .  , 69.5 ,12.3  ,.     , 12   ,.     ,  6   ,13.1  ,1.60  ,38.5  ,26.9  , 8.79 ,35.7  , 0.93 ,24.4  ,14.1  ,14.0  , 8.77 , 0.87 , 0.62 , 5.11 , 9.26 , 2.10 ,15.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,2,123   ,51.5  , 71.4 ,109.2 , 80.8 , 4.3  ,7.60  , 0.63 , 6.9  ,36.4  ,2.48  , 679  , 59   ,1.56  ,0.102 ,14.5  ,2.51  , 9.3  ,0.120 ,0.108 , 43   ,375   ,   .  , 85.0 ,12.6  ,.     ,  7   ,.     ,  0   ,12.9  ,1.62  ,35.9  ,25.2  , 8.61 ,33.8  , 0.94 ,20.9  ,15.0  ,13.3  ,13.97 , 0.94 , 0.54 , 4.92 , 8.20 , 2.11 ,14.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,3,124   ,47.0  , 77.0 ,108.0 , 79.3 , 4.3  ,7.65  , 3.00 ,10.3  ,40.6  ,2.89  , 720  , 52   ,0.98  ,0.106 ,15.2  ,2.51  , 9.1  ,0.116 ,0.110 , 44   ,395   ,.     , 77.3 ,12.5  ,.     , 10   ,.     ,  3   ,13.0  ,1.61  ,37.2  ,26.1  , 8.70 ,34.8  , 0.94 ,22.6  ,14.6  ,13.7  ,11.37 , 0.91 , 0.58 , 5.02 , 8.73 , 2.10 ,15.3  , 8.6  ,1.97  , 5.2  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,3,130   ,45.8  , 84.6 ,116.4 , 82.9 , 4.5  ,7.58  , 1.50 , 8.0  ,42.7  ,3.17  , 656  , 39   ,0.86  ,0.105 ,16.5  ,2.38  , 9.5  ,0.112 ,0.104 , 53   ,383   ,.     , 86.3 ,13.4  ,.     ,  7   ,.     , 58   ,13.9  ,1.54  ,39.7  ,26.1  , 7.23 ,33.3  , 0.85 ,25.1  ,14.5  ,14.0  , 9.38 , 0.84 , 0.52 , 3.82 , 9.39 , 1.96 ,14.8  , 7.5  ,1.79  , 4.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,1,116   ,33.4  , 82.9 , 92.1 , 65.4 , 4.1  ,7.90  , 4.37 , 7.9  ,35.3  ,3.30  , 458  , 45   ,0.43  ,0.096 ,15.5  ,2.69  , 7.7  ,0.108 ,0.084 , 50   ,451   ,279   , 70.3 ,  .   , 490  , 10   ,   .  ,138   ,13.0  ,1.47  ,43.1  ,22.6  , 5.67 ,28.3  , 0.66 ,30.3  ,12.8  ,15.6  , 7.20 , 0.78 , 0.48 , 3.16 , 8.96 , 1.60 ,12.1  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AC,M,2,121   ,34.5  , 86.9 ,100.7 , 66.9 , 4.2  ,7.10  , 0.00 , 3.4  ,34.4  ,2.76  , 637  , 85   ,0.98  ,0.105 ,19.2  ,2.11  ,10.4  ,0.117 ,0.114 , 51   ,332   ,238   , 73.9 ,15.1  , 618  , 16   ,   .  , 75   ,14.0  ,1.53  ,37.0  ,27.2  , 9.59 ,36.8  , 0.99 ,23.5  ,13.5  ,13.8  , 9.23 , 0.95 , 0.77 , 5.21 , 9.59 , 2.10 ,15.5  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
AC,M,3,119   ,34.0  , 84.9 , 96.4 , 66.2 , 4.2  ,7.50  , 2.19 , 5.7  ,34.9  ,3.03  , 548  , 65   ,0.70  ,0.101 ,17.4  ,2.40  , 9.1  ,0.113 ,0.099 , 51   ,392   ,259   , 72.1 ,15.1  , 554  , 13   ,.     ,107   ,13.5  ,1.50  ,40.1  ,24.9  , 7.63 ,32.5  , 0.83 ,26.9  ,13.2  ,14.7  , 8.21 , 0.86 , 0.63 , 4.19 , 9.28 , 1.85 ,13.8  , 4.8  ,1.32  , 2.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,1,106   ,29.6  , 76.7 , 97.0 , 67.7 , 4.0  ,8.00  , 4.04 , 9.4  ,24.8  ,2.48  , 605  ,122   ,0.78  ,0.110 ,15.7  ,2.69  , 7.4  ,0.101 ,0.071 , 24   ,367   ,238   , 77.3 ,14.3  ,.     ,  0   ,.     ,  0   ,11.4  ,1.49  ,37.5  ,23.9  , 9.44 ,33.3  , 0.89 ,21.9  ,15.6  ,14.2  ,12.12 , 1.09 , 0.72 , 5.41 , 7.08 , 2.03 ,14.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,2,130   ,33.8  , 96.2 , 99.3 , 70.8 , 4.1  ,8.00  , 0.00 , 6.0  ,27.9  ,3.03  , 637  , 94   ,2.29  ,0.097 ,16.5  ,2.41  ,10.2  ,0.104 ,0.084 , 25   ,735   ,275   , 76.0 ,14.8  ,.     ,  4   ,.     ,  0   ,12.9  ,1.52  ,39.7  ,20.8  , 7.71 ,28.5  , 0.72 ,23.3  ,16.4  ,12.2  ,14.38 , 1.17 , 0.53 , 4.26 , 6.21 , 1.91 ,12.7  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,3,118   ,31.7  , 86.5 , 98.2 , 69.3 , 4.0  ,8.00  , 2.02 , 7.7  ,26.4  ,2.75  , 621  ,108   ,1.54  ,0.104 ,16.1  ,2.55  , 8.8  ,0.103 ,0.077 , 25   ,551   ,257   , 76.7 ,14.6  ,.     ,  2   ,.     ,  0   ,12.2  ,1.51  ,38.6  ,22.4  , 8.57 ,30.9  , 0.81 ,22.6  ,16.0  ,13.2  ,13.25 , 1.13 , 0.63 , 4.83 , 6.65 , 1.97 ,13.8  , 7.0  ,1.67  , 3.8  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,3,118   ,32.8  , 85.7 , 97.3 , 67.7 , 4.1  ,7.75  , 2.10 , 6.7  ,30.6  ,2.89  , 584  , 87   ,1.12  ,0.102 ,16.7  ,2.48  , 8.9  ,0.108 ,0.088 , 38   ,471   ,258   , 74.4 ,14.8  ,.     ,  8   ,.     , 53   ,12.8  ,1.50  ,39.3  ,23.6  , 8.10 ,31.7  , 0.82 ,24.8  ,14.6  ,14.0  ,10.73 , 1.00 , 0.63 , 4.51 , 7.96 , 1.91 ,13.8  , 5.9  ,1.50  , 3.3  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,1, 99   ,33.3  , 65.3 , 85.3 , 67.9 , 4.2  ,7.20  , 0.00 , 3.0  ,48.9  ,3.59  , 622  ,102   ,0.42  ,0.128 ,19.8  ,2.29  ,10.8  ,0.152 ,0.134 , 49   ,445   ,244   , 78.7 ,13.4  , 739  ,  0   ,   .  ,117   ,13.8  ,1.49  ,43.7  ,25.5  , 6.00 ,31.4  , 0.72 ,27.8  ,16.0  , 9.6  , 7.61 , 0.25 , 0.28 , 2.55 , 8.10 , 3.23 ,14.1  ,.     ,.     ,.     ,1233  ,1045  ,0.37  ,0.75  ,13.33 , 6.12 , 0.06 , 0.48 ,18.41 ,13.18 ,0.25  , 7.21 ,
BA,M,2,109   ,50.8  , 58.4 , 88.9 , 69.3 , 4.5  ,7.70  , 0.44 , 2.7  ,40.8  ,3.59  , 389  ,  0   ,0.76  ,0.123 ,18.8  ,2.51  ,11.3  ,0.140 ,0.133 , 72   ,488   ,248   , 79.8 ,14.0  , 587  , 17   ,   .  ,106   ,14.3  ,1.55  ,42.4  ,24.9  , 3.98 ,28.9  , 0.68 ,26.6  ,15.9  ,12.9  , 8.51 , 0.21 , 0.21 , 2.24 , 8.51 , 3.05 ,13.3  ,.     ,.     ,.     ,1286  ,1059  ,0.44  ,0.36  ,14.03 , 4.81 , 0.06 , 0.05 ,20.95 ,12.15 ,0.19  , 9.22 ,
BA,M,3,104   ,42.0  , 61.9 , 87.1 , 68.6 , 4.4  ,7.45  , 0.22 , 2.9  ,44.9  ,3.59  , 506  , 51   ,0.59  ,0.126 ,19.3  ,2.40  ,11.1  ,0.146 ,0.134 , 61   ,467   ,246   , 79.3 ,13.7  , 663  ,  9   ,.     ,112   ,14.1  ,1.52  ,43.1  ,25.2  , 4.99 ,30.1  , 0.70 ,27.2  ,16.0  ,11.3  , 8.06 , 0.23 , 0.25 , 2.40 , 8.30 , 3.14 ,13.7  ,11.5  ,1.25  , 6.8  ,1260  ,1052  ,0.41  ,0.56  ,13.68 , 5.46 , 0.06 , 0.27 ,19.68 ,12.67 ,0.22  , 8.21 ,
BA,F,1,114   ,43.2  , 71.1 , 93.3 , 67.6 , 4.2  ,7.50  , 0.00 , 4.3  ,32.1  ,2.76  , 617  , 78   ,0.42  ,0.128 ,16.3  ,2.79  ,10.0  ,0.120 ,0.102 , 15   ,555   ,306   , 79.5 ,12.9  ,.     , 17   ,.     ,  0   ,12.6  ,1.53  ,34.6  ,26.5  , 6.11 ,32.6  , 0.94 ,20.2  ,14.3  ,10.5  , 7.49 , 0.21 , 0.26 , 2.53 , 8.01 , 3.05 ,15.5  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,F,2,118   ,45.3  , 72.9 ,100.5 , 81.5 , 4.4  ,7.80  , 0.73 , 3.5  ,38.9  ,1.81  , 690  ,160   ,0.58  ,0.134 ,17.9  ,2.69  ,13.0  ,0.161 ,0.106 , 40   ,505   ,260   , 84.5 ,12.0  ,.     , 10   ,.     ,  0   ,13.1  ,1.56  ,45.5  ,22.3  , 5.27 ,27.5  , 0.61 ,27.0  ,18.5  ,11.3  , 8.47 , 0.81 , 0.22 , 1.71 , 6.78 , 3.46 ,12.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,F,3,116   ,44.3  , 72.0 , 96.9 , 74.5 , 4.3  ,7.65  , 0.36 , 3.9  ,35.5  ,2.29  , 654  ,119   ,0.50  ,0.131 ,17.1  ,2.74  ,11.5  ,0.141 ,0.104 , 28   ,530   ,283   , 82.0 ,12.5  ,.     , 14   ,.     ,  0   ,12.8  ,1.55  ,40.1  ,24.4  , 5.69 ,30.1  , 0.78 ,23.6  ,16.4  ,10.9  , 7.98 , 0.51 , 0.24 , 2.12 , 7.40 , 3.25 ,13.8  , 7.2  ,1.57  , 6.0  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,3,110   ,43.1  , 66.9 , 92.0 , 71.6 , 4.3  ,7.55  , 0.29 , 3.4  ,40.2  ,2.94  , 580  , 85   ,0.55  ,0.128 ,18.2  ,2.57  ,11.3  ,0.143 ,0.119 , 44   ,498   ,265   , 80.6 ,13.1  ,.     , 11   ,.     , 56   ,13.5  ,1.53  ,41.6  ,24.8  , 5.34 ,30.1  , 0.74 ,25.4  ,16.2  ,11.1  , 8.02 , 0.37 , 0.24 , 2.26 , 7.85 , 3.20 ,13.7  , 9.3  ,1.41  , 6.4  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,1,124   ,41.2  , 83.1 , 97.3 , 76.2 , 4.5  ,7.60  ,15.72 ,18.2  ,46.9  ,4.33  , 523  , 81   ,0.70  ,0.108 ,16.4  ,2.60  , 6.5  ,0.096 ,0.120 , 77   ,315   ,251   , 82.2 ,12.6  , 623  ,  8   ,   .  ,204   ,13.9  ,1.43  ,38.6  ,26.8  , 6.18 ,33.0  , 0.85 ,22.6  ,16.0  ,12.5  , 9.84 , 0.35 , 0.31 , 2.18 , 9.14 , 3.19 ,14.5  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
BB,M,2,116   ,42.1  , 74.0 , 93.5 , 72.5 , 4.5  ,7.60  , 3.85 , 5.5  ,33.0  ,3.03  , 918  ,  0   ,0.56  ,0.114 ,15.5  ,2.51  ,11.1  ,0.091 ,0.089 , 80   ,322   ,272   , 76.2 ,14.8  , 720  ,  8   ,   .  , 91   ,13.0  ,1.63  ,39.0  ,26.5  , 5.94 ,32.4  , 0.83 ,25.1  ,13.9  ,12.2  ,10.21 , 0.49 , 0.27 , 2.42 , 9.85 , 2.64 ,14.0  ,.     ,.     ,.     ,    . ,    . , .    , .    ,  .   ,  .   ,  .   ,  .   ,  .   ,  .   , .    ,  .   ,
BB,M,3,120   ,41.7  , 78.5 , 95.4 , 74.4 , 4.5  ,7.60  , 9.79 ,11.8  ,40.0  ,3.68  , 721  , 41   ,0.63  ,0.111 ,15.9  ,2.56  , 8.8  ,0.093 ,0.104 , 79   ,319   ,262   , 79.2 ,13.7  , 672  ,  8   ,.     ,148   ,13.5  ,1.53  ,38.8  ,26.7  , 6.06 ,32.7  , 0.84 ,23.9  ,15.0  ,12.3  ,10.03 , 0.42 , 0.29 , 2.30 , 9.50 , 2.92 ,14.3  , 6.5  ,2.38  , 4.2  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,1,131   ,49.3  , 81.3 ,103.5 , 80.7 , 4.4  ,7.90  ,18.95 ,23.6  ,43.7  ,4.47  , 668  , 91   ,0.72  ,0.114 ,17.7  ,2.79  , 6.5  ,0.203 ,0.095 , 45   ,328   ,308   , 79.3 ,10.6  ,.     ,  4   ,.     ,  8   ,12.8  ,1.40  ,34.8  ,23.1  , 6.24 ,29.3  , 0.84 ,21.7  ,13.1  ,11.1  , 8.05 , 1.25 , 0.25 , 2.01 , 9.35 , 2.53 ,11.2  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,2,120   ,46.6  , 73.8 , 99.8 , 85.0 , 4.6  ,8.00  , 5.88 , 7.4  ,39.3  ,3.30  ,1050  , 69   ,1.04  ,0.105 ,15.8  ,2.79  , 9.7  ,0.095 ,0.124 , 55   ,252   ,304   , 80.5 ,12.3  ,.     ,  0   ,.     ,  0   ,11.2  ,1.64  ,40.6  ,24.6  , 5.14 ,29.7  , 0.73 ,24.7  ,15.9  ,13.2  ,10.31 , 0.47 , 0.25 , 2.09 , 8.77 , 2.93 ,12.9  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,3,126   ,48.0  , 77.5 ,101.7 , 82.9 , 4.5  ,7.95  ,12.41 ,15.5  ,41.5  ,3.88  , 859  , 80   ,0.88  ,0.110 ,16.8  ,2.79  , 8.1  ,0.149 ,0.110 , 50   ,290   ,306   , 79.9 ,11.5  ,.     ,  2   ,.     ,  4   ,12.0  ,1.52  ,37.7  ,23.9  , 5.69 ,29.5  , 0.79 ,23.2  ,14.5  ,12.2  , 9.18 , 0.86 , 0.25 , 2.05 , 9.06 , 2.73 ,12.1  , 8.2  ,3.03  , 4.6  ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
