County, Sex, Xiang, P004, P005, P006, P008, P009, P012, P014, P015, P016, P017, P035, P036, P037, P044, P045, P046, P047, P048, 
CC,F,2,131.7 ,68.9  ,4.8   ,3.99  ,10.4  ,44.8  ,758   ,333   , 3.20 , 47.1 ,290   , 96.9 ,12.9  , 82.8 ,.     , 29   ,.     , 14.8 ,
CC,F,3,132.0 ,67.1  ,4.7   ,3.94  ,10.1  ,45.5  ,820   ,325   , 3.38 , 49.0 ,302   ,106.5 ,13.6  , 75.9 ,.     , 17   ,.     ,  9.1 ,
CC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
CC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
CC,T,3,124.4 ,61.7  ,4.6   ,3.68  , 8.3  ,44.0  ,736   ,302   , 2.93 , 43.0 ,275   ,101.2 ,14.6  , 65.5 ,.     ,.     ,.     ,.     ,
FA,M,1,120.7 ,48.4  ,4.5   ,4.16  ,19.3  ,60.1  ,621   ,252   , 2.06 , 96.9 ,239   , 98.4 ,18.8  , 80.0 ,163   ,.     , 73.1 ,.     ,
FA,M,2,125.3 ,56.8  ,4.2   ,3.40  ,12.1  ,55.7  ,790   ,132   , 1.55 , 71.6 ,250   , 88.1 ,19.9  , 73.3 ,182   ,.     , 63.6 ,.     ,
FA,M,3,123.0 ,52.6  ,4.4   ,3.78  ,15.7  ,57.9  ,706   ,192   , 1.81 , 84.3 ,245   , 93.3 ,19.4  , 76.7 ,173   ,.     , 68.3 ,.     ,
FA,F,1,127.6 ,55.2  ,4.6   ,4.72  ,26.1  ,46.5  ,661   ,211   , 3.40 ,101.2 ,285   , 91.4 ,15.7  , 72.4 ,.     ,109   ,.     , 48.1 ,
FA,F,2,125.0 ,53.2  ,4.6   ,4.93  ,27.1  ,49.0  ,770   ,154   , 3.51 , 75.1 ,207   , 96.6 ,15.4  , 70.0 ,.     ,128   ,.     , 42.9 ,
FA,F,3,126.3 ,54.2  ,4.6   ,4.83  ,26.6  ,47.8  ,716   ,183   , 3.46 , 88.2 ,246   , 94.0 ,15.6  , 71.2 ,.     ,119   ,.     , 45.5 ,
FA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
FA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
FA,T,3,124.7 ,53.4  ,4.5   ,4.30  ,21.2  ,52.8  ,711   ,187   , 2.63 , 86.2 ,245   , 93.6 ,17.5  , 73.9 ,.     ,.     ,.     ,.     ,
HA,M,1,139.5 ,73.0  ,4.4   ,0.00  , 9.7  ,53.2  ,754   ,127   , 1.79 , 27.1 ,216   , 85.4 ,17.6  , 66.7 ,205   ,.     , 78.3 ,.     ,
HA,M,2,119.8 ,77.7  ,4.5   ,1.56  ,12.4  ,68.4  ,846   ,225   , 4.10 , 29.7 ,295   , 97.5 ,17.6  , 54.8 ,189   ,.     , 81.8 ,.     ,
HA,M,3,129.7 ,75.4  ,4.5   ,0.78  ,11.1  ,60.8  ,800   ,176   , 2.94 , 28.4 ,256   , 91.5 ,17.6  , 60.8 ,197   ,.     , 80.0 ,.     ,
HA,F,1,131.9 ,74.9  ,4.8   ,2.00  ,17.4  ,37.8  ,763   ,176   , 4.43 , 30.2 ,254   , 87.7 ,12.3  , 56.7 ,.     , 13   ,.     , 10.0 ,
HA,F,2,129.4 ,79.2  ,4.6   ,3.63  ,24.1  ,47.5  ,851   ,198   ,10.29 , 36.4 ,255   ,101.3 ,12.9  , 60.7 ,.     ,  8   ,.     ,  3.7 ,
HA,F,3,130.7 ,77.1  ,4.7   ,2.81  ,20.8  ,42.6  ,807   ,187   , 7.36 , 33.3 ,255   , 94.5 ,12.6  , 58.7 ,.     , 11   ,.     ,  6.9 ,
HA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
HA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
HA,T,3,130.2 ,76.2  ,4.6   ,1.80  ,15.9  ,51.7  ,804   ,182   , 5.15 , 30.9 ,255   , 93.0 ,15.1  , 59.7 ,.     ,.     ,.     ,.     ,
KB,M,1,134.3 ,58.4  ,4.5   ,0.00  , 4.3  ,48.8  ,793   ,262   , 0.00 , 29.2 ,243   , 95.7 ,17.9  , 90.0 ,146   ,.     , 75.9 ,.     ,
KB,M,2,136.2 ,64.4  ,4.3   ,0.00  , 4.7  ,51.3  ,593   ,145   , 0.00 , 33.8 ,204   , 84.5 ,16.5  , 89.7 ,116   ,.     , 60.0 ,.     ,
KB,M,3,135.3 ,61.4  ,4.4   ,0.00  , 4.5  ,50.0  ,693   ,204   , 0.00 , 31.5 ,224   , 90.1 ,17.2  , 89.9 ,131   ,.     , 68.0 ,.     ,
KB,F,1,116.7 ,62.8  ,4.2   ,0.00  , 4.6  ,42.2  ,757   ,274   , 0.00 , 34.9 ,243   , 90.5 ,14.6  , 90.0 ,.     , 32   ,.     , 16.7 ,
KB,F,2,134.3 ,60.7  ,4.6   ,2.87  ,10.2  ,35.6  ,615   ,217   , 0.00 , 38.3 ,246   , 84.7 ,12.3  , 90.0 ,.     ,  7   ,.     ,  3.6 ,
KB,F,3,125.5 ,61.8  ,4.4   ,1.44  , 7.4  ,38.9  ,686   ,246   , 0.00 , 36.6 ,245   , 87.6 ,13.5  , 90.0 ,.     , 20   ,.     , 10.2 ,
KB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
KB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
KB,T,3,130.4 ,61.6  ,4.4   ,0.72  , 6.0  ,44.5  ,690   ,225   , 0.00 , 34.1 ,234   , 88.9 ,15.3  , 89.9 ,.     ,.     ,.     ,.     ,
LC,M,1,129.1 ,66.2  ,4.4   ,0.00  , 8.1  ,45.4  ,439   , 76   , 0.36 , 27.1 ,281   , 88.6 ,15.1  , 80.0 ,135   ,.     , 55.6 ,.     ,
LC,M,2,109.2 ,75.8  ,4.5   ,1.59  , 5.7  ,53.3  ,631   ,105   , 0.51 , 14.6 ,235   ,102.3 ,15.1  , 79.3 ,176   ,.     , 65.4 ,.     ,
LC,M,3,119.2 ,71.0  ,4.5   ,0.80  , 6.9  ,49.4  ,535   , 91   , 0.43 , 20.9 ,258   , 95.5 ,15.1  , 79.7 ,156   ,.     , 60.5 ,.     ,
LC,F,1,119.7 ,67.1  ,4.6   ,1.64  ,15.9  ,53.4  ,678   , 74   , 1.64 , 27.9 ,290   , 82.3 ,13.4  , 73.3 ,.     , 11   ,.     ,  7.1 ,
LC,F,2,124.2 ,73.2  ,4.2   ,1.41  , 8.2  ,41.4  ,614   , 82   , 0.77 , 22.4 ,239   , 86.3 ,12.9  , 81.5 ,.     ,  6   ,.     ,  7.4 ,
LC,F,3,122.0 ,70.2  ,4.4   ,1.52  ,12.1  ,47.4  ,646   , 78   , 1.21 , 25.1 ,265   , 84.3 ,13.2  , 77.4 ,.     ,  9   ,.     ,  7.3 ,
LC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
LC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
LC,T,3,120.6 ,70.6  ,4.4   ,1.16  , 9.5  ,48.4  ,591   , 84   , 0.82 , 23.0 ,261   , 89.9 ,14.1  , 78.5 ,.     ,.     ,.     ,.     ,
ND,M,1,142.3 ,62.3  ,4.4   ,4.12  ,12.8  ,48.5  ,665   , 89   , 1.15 , 45.0 ,211   , 86.7 ,14.8  , 45.2 ,199   ,.     , 77.3 ,.     ,
ND,M,2,147.7 ,69.5  ,4.5   ,3.95  ,14.4  ,55.4  ,676   ,155   , 1.26 , 52.6 ,255   ,104.1 ,14.8  , 64.5 ,195   ,.     , 62.5 ,.     ,
ND,M,3,145.0 ,65.9  ,4.5   ,4.04  ,13.6  ,52.0  ,671   ,122   , 1.21 , 48.8 ,233   , 95.4 ,14.8  , 54.9 ,197   ,.     , 69.9 ,.     ,
ND,F,1,127.0 ,56.3  ,4.7   ,5.17  ,19.0  ,40.3  ,662   , 97   , 0.62 , 50.3 ,236   , 91.9 ,12.0  , 53.6 ,.     , 47   ,.     , 14.3 ,
ND,F,2,135.6 ,65.7  ,4.7   ,4.91  ,15.6  ,37.8  ,579   ,108   , 1.21 , 38.0 ,256   , 95.5 ,14.3  , 69.0 ,.     , 36   ,.     , 14.3 ,
ND,F,3,131.3 ,61.0  ,4.7   ,5.04  ,17.3  ,39.0  ,621   ,103   , 0.92 , 44.1 ,246   , 93.7 ,13.2  , 61.3 ,.     , 42   ,.     , 14.3 ,
ND,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ND,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
ND,T,3,138.2 ,63.5  ,4.6   ,4.54  ,15.5  ,45.5  ,646   ,112   , 1.06 , 46.5 ,240   , 94.6 ,14.0  , 58.1 ,.     ,.     ,.     ,.     ,
QA,M,1,147.6 ,51.0  ,4.3   ,0.00  , 6.6  ,48.2  ,586   ,236   , 1.01 , 46.7 ,197   , 82.7 ,14.8  , 37.9 ,176   ,.     , 92.3 ,.     ,
QA,M,2,153.0 ,53.3  ,4.4   ,3.05  , 7.3  ,51.6  ,652   ,191   , 0.00 , 47.3 ,240   ,101.4 ,16.2  , 63.3 ,205   ,.     , 91.3 ,.     ,
QA,M,3,150.3 ,52.1  ,4.4   ,1.52  , 7.0  ,49.9  ,619   ,214   , 0.51 , 47.0 ,219   , 92.1 ,15.5  , 50.6 ,191   ,.     , 91.8 ,.     ,
QA,F,1,118.1 ,48.4  ,4.3   ,4.11  ,12.9  ,37.7  ,645   ,243   , 1.46 , 52.3 ,208   , 83.2 ,12.3  , 61.3 ,.     , 25   ,.     , 12.9 ,
QA,F,2,135.0 ,55.7  ,4.5   ,3.70  ,11.6  ,39.8  ,688   ,254   , 1.98 , 57.0 ,262   , 92.4 ,15.7  , 62.1 ,.     ,  4   ,.     ,  0.0 ,
QA,F,3,126.5 ,52.1  ,4.4   ,3.91  ,12.3  ,38.8  ,667   ,249   , 1.72 , 54.6 ,235   , 87.8 ,14.0  , 61.7 ,.     , 15   ,.     ,  6.5 ,
QA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
QA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
QA,T,3,138.4 ,52.1  ,4.4   ,2.72  , 9.6  ,44.3  ,643   ,231   , 1.11 , 50.8 ,227   , 89.9 ,14.8  , 56.2 ,.     ,.     ,.     ,.     ,
QC,M,1,129.6 ,50.7  ,4.3   ,1.56  ,10.8  ,61.0  ,605   , 89   , 2.22 , 43.5 ,231   , 90.6 ,14.3  , 63.3 ,214   ,.     , 73.3 ,.     ,
QC,M,2,125.3 ,56.1  ,4.1   ,1.58  ,10.6  ,58.3  ,625   , 70   , 1.11 , 55.9 ,247   , 92.1 ,16.5  , 53.3 ,228   ,.     , 78.3 ,.     ,
