County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M015, M016, M017, M018, M021, M022, M023, M025, M027, M028, M029, M030, M031, M033, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M048, M049, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M077, M086, M087, M088, M103, M104, M105, M106, M107, M113, M117, 
XA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XA,M,3, 17.36,121.93,106.33,343.55, 14.05, 91.05,255.83, 12.81, 87.72,123.31,145.27, 88.78,  3.14, 35.67,  0.59, 10.02,  0.00,  6.14,  5.14,  7.75, 79.08,308.05,  8.17,  0.00, 64.94,  1.68, 25.42,.     ,.     ,.     ,  0.00,  0.00,  3.44,  3.92,  1.77,  0.00,  0.00,  1.90,  0.00, 16.13,  2.31,  2.32,  9.76, 20.39, 43.75,  0.00,155.31, 16.13, 75.80, 68.51,274.71, 65.32, 10.95,256.03,  5.98,104.90, 38.96, 16.54, 19.88,.     ,.     , 60.14,.     , 86.78, 71.94, 14.84, 28.45,  9.07,
XA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XA,F,3, 13.61, 85.23,119.60,287.11, 13.06, 70.61,226.75, 12.63, 60.36, 43.06,142.33,119.07,  8.98, 60.00,  4.72, 11.09,  0.00,  5.31,  2.29,  0.00, 28.07, 55.22,  8.15,  0.68, 26.83,  0.00,.     , 12.67, 11.54, 65.28,  4.31, 10.33,  1.30,  4.32,  1.23, 12.14,  0.00,  0.84,  1.67,  9.66,  3.10,  2.42, 28.45, 32.77, 40.08,  0.68,209.05,  8.98,101.31, 61.35,452.97, 59.64, 11.45,438.90,  6.38, 72.57, 31.01,  2.61, 23.17,  6.89, 11.74, 49.33,  2.39, 68.05, 58.11,  9.94, 18.15,  6.48,
XA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XA,T,3, 15.48,103.58,112.97,315.33, 13.56, 80.83,241.29, 12.72, 74.04, 83.19,143.80,103.92,  6.06, 47.84,  2.65, 10.55,  0.00,  5.72,  3.71,  3.88, 53.58,181.64,  8.16,  0.34, 45.88,  0.84,.     ,.     ,.     ,.     ,  2.15,  5.17,  2.37,  4.12,  1.50,  6.07,  0.00,  1.37,  0.83, 12.89,  2.71,  2.37, 19.11, 26.58, 41.91,  0.34,182.18, 12.55, 88.56, 64.93,363.84, 62.48, 11.20,347.46,  6.18, 88.73, 34.98,  9.57, 21.53,.     ,.     , 54.73,.     , 77.42, 65.03, 12.39, 23.30,  7.78,
XB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,M,3, 28.69,229.29,243.74,614.67, 20.27,141.51,527.92, 18.48, 86.75,179.76,327.22,274.91, 11.00, 82.15, 16.16, 48.51,  0.00,  6.56,  4.19,  5.90, 51.41,253.56, 15.46,  1.47, 28.06, 10.46,  7.17,.     ,.     ,.     ,  0.00,  4.20,  2.37,  3.27,  6.85, 11.01,  8.64,  3.01,  2.86, 13.53,  2.00,  3.78, 35.77, 14.12, 14.97,  1.80,120.83, 11.73, 78.79,106.64,564.43,103.21, 88.48,446.47, 47.09,313.93,135.42,125.38, 58.50,.     ,.     , 87.16,.     ,143.46,136.14,  7.32, 52.05, 23.42,
XB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,F,3, 25.79,182.44,286.46,584.29, 17.23,106.26,512.17, 16.49, 72.12, 74.68,312.03,262.27, 33.84, 95.35, 11.20, 29.87,  0.00,  4.89,  2.97,  0.00,  6.47,168.91, 11.90,  0.00, 21.88,  8.45,.     ,  2.37,  1.44, 52.47,  1.17,  3.81,  0.79,  0.00,  7.54,  7.37,  5.41,  1.64,  3.04, 19.18,  2.66,  9.55, 79.53, 24.80, 21.09,  1.87,135.43, 17.30,130.56, 88.48,518.46, 83.03, 61.59,437.29, 40.85,200.62, 96.14, 34.75, 23.47, 16.83, 23.13, 74.49,  2.82,128.97,121.10,  7.87, 46.54, 23.43,
XB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
XB,T,3, 27.24,205.87,265.10,599.48, 18.75,123.89,520.04, 17.48, 79.44,127.22,319.63,268.59, 22.42, 88.75, 13.68, 39.19,  0.00,  5.72,  3.58,  2.95, 28.94,211.24, 13.68,  0.73, 24.97,  9.46,.     ,.     ,.     ,.     ,  0.58,  4.00,  1.58,  1.64,  7.20,  9.19,  7.03,  2.32,  2.95, 16.36,  2.33,  6.67, 57.65, 19.46, 18.03,  1.84,128.13, 14.52,104.68, 97.56,541.45, 93.12, 75.04,441.88, 43.97,257.28,115.78, 80.06, 40.98,.     ,.     , 80.83,.     ,136.22,128.62,  7.60, 49.30, 23.43,
YA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,M,3, 16.37,105.44,136.85,342.13, 19.35, 81.86,292.29, 17.94, 49.85,140.23,170.39,164.01,  6.74, 57.10,  6.14, 19.12,  0.00,  7.89,  4.15,  5.92,115.03,135.36, 15.21,  0.73, 64.75,  4.94, 45.94,.     ,.     ,.     ,  3.33,  4.23,  2.69,  4.09,  3.16,  2.26,  2.26,  0.84,  1.56,  9.71,  3.52,  3.24, 27.47, 48.19, 32.87,  1.82,234.43,  7.89,117.10, 93.12,694.10, 88.00, 38.61,631.90, 18.86,124.78, 35.99, 33.62, 34.04,.     ,.     , 58.34,.     , 81.83, 78.47,  3.36, 25.43,  7.34,
YA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,F,3, 12.38, 88.46,149.67,287.72, 15.81, 65.08,265.80, 15.53, 21.93, 28.29,144.90,153.71, 12.99, 49.28, 10.57, 24.20,  0.00,  9.08,  3.34,  0.87, 80.28, 85.94, 15.60,  0.62, 26.34,  1.16,.     , 16.58,  8.03, 75.57,  3.43,  1.35,  2.77,  2.20,  4.00,  2.74,  0.35,  0.65,  2.27, 17.33,  3.50,  5.86, 63.47, 46.90, 31.52,  2.45,188.04, 14.87,161.75, 75.03,556.29, 70.28, 29.40,513.43, 14.27, 90.78, 25.37, 14.02, 21.45, 15.98, 18.25, 45.11,  3.55, 61.92, 59.29,  2.63, 18.20,  4.83,
YA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
YA,T,3, 14.38, 96.95,143.26,314.93, 17.58, 73.47,279.05, 16.73, 35.89, 84.26,157.65,158.86,  9.87, 53.19,  8.36, 21.66,  0.00,  8.48,  3.75,  3.40, 97.66,110.65, 15.41,  0.68, 45.55,  3.05,.     ,.     ,.     ,.     ,  3.38,  2.79,  2.73,  3.15,  3.58,  2.50,  1.30,  0.74,  1.92, 13.52,  3.51,  4.55, 45.47, 47.55, 32.20,  2.14,211.24, 11.38,139.43, 84.08,625.20, 79.14, 34.01,572.66, 16.57,107.78, 30.68, 23.82, 27.75,.     ,.     , 51.73,.     , 71.88, 68.88,  3.00, 21.82,  6.08,
