County, Sex, Xiang, M001, M002, M003, M004, M005, M006, M007, M008, M009, M010, M011, M012, M015, M016, M017, M018, M021, M022, M023, M025, M027, M028, M029, M030, M031, M033, M035, M036, M037, M038, M039, M040, M041, M042, M043, M044, M045, M048, M049, M058, M059, M060, M061, M062, M063, M064, M065, M066, M067, M068, M069, M070, M071, M072, M073, M074, M075, M077, M086, M087, M088, M103, M104, M105, M106, M107, M113, M117, 
AA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,M,3,  3.67, 72.03,124.01,143.89, 14.87, 97.10, 80.00, 13.95, 63.90, 92.12, 16.63,172.86,  0.78,103.03,  0.26,  0.43, 28.07, 14.00,  5.44,  5.34, 95.11,156.31, 18.09,  2.83,105.99,  5.42,105.56,.     ,.     ,.     ,  4.79,  7.04,  2.67,  4.52,  0.67,  4.99,  3.59,  1.34,  1.35,  9.78,  2.51,  0.45, 13.69, 10.68, 10.72,  0.25,176.91,  9.53, 73.69,  9.95,302.49,  6.76, 15.19,214.69,  4.52, 80.78,  8.73,  2.15, 15.59,.     ,.     , 14.44,.     , 18.36, 10.61,  7.75,  4.13,  0.00,
AA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,F,3,  3.20, 42.49, 74.48,100.46,  7.67, 59.48, 60.57,  7.24, 39.89, 43.23, 11.49, 82.56,  2.41, 44.56,  0.00,  2.20, 13.60, 10.34,  2.42,  1.08, 24.63, 57.72, 15.59,  1.24, 40.03,  1.75,.     , 29.18, 10.78, 12.67,  2.08,  1.57,  3.50,  7.37,  1.06,  5.13,  3.95,  0.72,  5.88,  9.17,  1.92,  1.61, 19.89,  8.89,  9.01,  0.92,135.01,  8.25, 56.51,  5.05,106.15,  3.31,  9.24, 77.83,  2.41, 49.04,  2.70,  3.16, 12.62,  1.00,  0.00, 12.64,  0.31, 16.02,  9.71,  6.30,  4.73,  0.09,
AA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AA,T,3,  3.44, 57.26, 99.25,122.17, 11.27, 78.29, 70.28, 10.60, 51.90, 67.67, 14.06,127.71,  1.60, 73.80,  0.13,  1.32, 20.84, 12.17,  3.93,  3.21, 59.87,107.02, 16.84,  2.04, 73.01,  3.58,.     ,.     ,.     ,.     ,  3.44,  4.30,  3.08,  5.95,  0.87,  5.06,  3.77,  1.03,  3.62,  9.47,  2.21,  1.03, 16.79,  9.79,  9.87,  0.59,155.96,  8.89, 65.10,  7.50,204.32,  5.04, 12.21,146.26,  3.46, 64.91,  5.72,  2.66, 14.11,.     ,.     , 13.54,.     , 17.19, 10.16,  7.03,  4.43,  0.04,
AB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,M,3,  5.01, 67.69,138.61,170.09, 16.66,110.54, 91.44, 15.81, 78.66, 85.59, 29.91,351.65,  4.18,195.05,  1.01,  3.38, 91.76, 12.92,  5.16,  5.85, 71.07,171.88, 45.78,  1.85,101.78,  0.77, 79.23,.     ,.     ,.     ,  4.80,  3.91,  2.58,  8.16,  1.81,  4.61,  4.61,  0.50,  1.09, 13.46,  2.10,  1.53, 10.39,  7.02,  7.58,  1.55,148.25, 11.91, 61.62, 14.94,399.23, 12.90, 20.35,375.96,  4.58, 58.61, 15.45,  2.01, 21.42,.     ,.     , 13.81,.     , 25.04, 14.33, 10.71,  3.97,  0.00,
AB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,F,3,  3.84, 51.36,101.97,127.78,  8.83, 65.11, 80.46,  8.41, 47.33, 41.93, 23.16,149.44,  2.80, 33.97,  0.77,  0.84, 84.70, 15.21,  2.81,  2.04, 31.17, 65.81, 42.62,  0.79, 46.65,  0.00,.     , 27.54,  8.05, 20.67,  1.66,  1.10,  3.59,  5.40,  1.30,  4.40,  3.60,  0.24,  1.76,  9.52,  1.53,  1.00,  9.76, 12.53,  3.14,  0.86,100.11,  8.66, 53.30, 10.83,157.18,  9.02, 14.47,141.77,  1.00, 46.74,  5.03,  0.80, 19.69,  1.75,  0.40, 11.57,  0.37, 19.19, 11.97,  7.22,  3.75,  0.00,
AB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AB,T,3,  4.42, 59.52,120.29,148.94, 12.75, 87.83, 85.95, 12.11, 62.99, 63.76, 26.54,250.54,  3.49,114.51,  0.89,  2.11, 88.23, 14.07,  3.99,  3.94, 51.12,118.84, 44.20,  1.32, 74.22,  0.39,.     ,.     ,.     ,.     ,  3.23,  2.51,  3.08,  6.78,  1.56,  4.51,  4.11,  0.37,  1.43, 11.49,  1.82,  1.27, 10.08,  9.78,  5.36,  1.21,124.18, 10.29, 57.46, 12.88,278.21, 10.96, 17.41,258.87,  2.79, 52.68, 10.24,  1.41, 20.56,.     ,.     , 12.69,.     , 22.12, 13.15,  8.96,  3.86,  0.00,
AC,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,M,3,  3.97, 77.18,118.00,146.22, 15.07,104.73, 78.25, 14.26, 67.97, 80.21, 25.94,213.13,  2.67,129.88,  0.38,  1.90, 49.83,  8.63,  4.41,  3.02, 70.71,141.87, 24.61,  1.03, 89.83,  3.36, 70.33,.     ,.     ,.     ,  2.42,  1.56,  1.86,  4.26,  0.48,  2.97,  2.57,  0.66,  1.46,  9.28,  2.10,  0.38,  6.96,  7.03,  8.17,  0.61,133.59,  8.66, 76.59, 12.30,405.19,  9.99, 11.52,279.48,  3.75, 80.99,  4.13,  9.40, 11.74,.     ,.     ,  9.09,.     , 19.86, 11.52,  8.34,  3.35,  0.00,
AC,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,F,3,  3.13, 47.66, 71.48, 99.12,  8.27, 67.32, 62.52,  7.93, 36.60, 34.09, 18.13, 87.79,  2.08, 34.47,  0.00,  3.11, 23.45,  9.25,  2.22,  1.42, 17.82, 51.55, 31.11,  0.86, 42.51,  1.41,.     , 21.76,  9.53, 12.03,  1.80,  2.25,  1.72,  5.12,  0.00,  2.71,  1.65,  0.27,  4.47,  7.50,  1.69,  1.02, 16.19,  5.71,  6.59,  0.27,109.99,  7.23, 59.35, 11.05,201.48,  8.67, 10.60,148.74,  2.88, 50.30,  0.82,  3.29, 15.61,  2.33,  0.00,  7.63,  0.45, 15.63,  9.32,  6.31,  2.31,  0.00,
AC,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
AC,T,3,  3.55, 62.42, 94.74,122.67, 11.67, 86.03, 70.39, 11.10, 52.29, 57.15, 22.04,150.46,  2.38, 82.17,  0.19,  2.50, 36.64,  8.94,  3.32,  2.22, 44.27, 96.71, 27.86,  0.95, 66.17,  2.38,.     ,.     ,.     ,.     ,  2.11,  1.91,  1.79,  4.69,  0.24,  2.84,  2.11,  0.47,  2.96,  8.39,  1.90,  0.70, 11.58,  6.37,  7.38,  0.44,121.79,  7.95, 67.97, 11.68,303.33,  9.33, 11.06,214.11,  3.31, 65.64,  2.48,  6.35, 13.68,.     ,.     ,  8.36,.     , 17.75, 10.42,  7.33,  2.83,  0.00,
BA,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,M,3,  8.42,113.88,124.89,224.26, 20.41, 97.38,177.03, 19.55, 47.23, 86.01, 88.59,205.66,  4.87,101.61,  2.88, 10.12,  0.00,  8.87,  8.07,  5.11,574.98, 80.63, 14.19,  0.00, 50.12,  0.00, 57.93,.     ,.     ,.     ,  4.41,  1.99,  1.83,  1.58,  1.36, 12.51, 10.65,  2.63,  6.87, 13.07,  3.43,  2.45, 12.16, 61.47, 46.42,  0.23,206.79, 12.84,136.10, 37.34,366.03, 32.98, 22.33,285.10, 14.91,156.00, 37.08,  8.87, 23.93,.     ,.     , 31.63,.     , 42.12, 38.39,  3.73, 12.92,  6.12,
BA,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,F,3,  8.45, 97.22,127.36,221.32, 13.79, 97.72,194.89, 13.57, 26.44, 21.60,101.12,136.95, 12.14, 64.05,  3.03,  6.83,  0.00,  6.08,  4.93,  2.89,308.65, 40.51,  9.67,  0.68, 25.00,  0.94,.     , 28.55,  5.13, 48.74,  4.70,  1.84,  1.10,  4.84,  1.28,  4.93,  3.99,  3.44,  3.96, 17.59,  3.42,  3.79, 30.88, 47.64, 50.00,  2.08,203.62, 15.50,138.34, 44.99,254.13, 39.76, 20.17,213.30, 13.84, 75.13, 12.25,  3.56, 16.22,  9.80,  9.26, 26.06,  3.53, 42.27, 39.56,  2.71, 11.02,  5.69,
BA,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BA,T,3,  8.44,105.55,126.13,222.79, 17.10, 97.55,185.96, 16.56, 36.84, 53.81, 94.86,171.31,  8.51, 82.83,  2.96,  8.47,  0.00,  7.47,  6.50,  4.00,441.81, 60.57, 11.93,  0.34, 37.56,  0.47,.     ,.     ,.     ,.     ,  4.56,  1.92,  1.47,  3.21,  1.32,  8.72,  7.32,  3.04,  5.42, 15.33,  3.43,  3.12, 21.52, 54.55, 48.21,  1.16,205.21, 14.17,137.22, 41.17,310.08, 36.37, 21.25,249.20, 14.38,115.56, 24.66,  6.21, 20.07,.     ,.     , 28.84,.     , 42.20, 38.98,  3.22, 11.97,  5.91,
BB,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,M,3,  4.38,112.56,143.68,176.86, 14.86, 81.19,113.58, 13.97, 63.28, 89.16, 53.01, 77.44,  7.78, 45.86,  1.85,  3.57,  0.00, 13.49,  5.55,  3.93,301.26,104.84, 12.24,  1.92, 45.44,  2.95, 59.51,.     ,.     ,.     ,  1.27,  3.49,  3.71,  4.39,  2.56,  1.73,  1.73,  2.05,  2.50, 10.93,  3.21,  2.68, 18.04, 47.26, 58.38,  0.00,183.59, 10.93,137.22, 17.80,254.64, 15.81, 15.53,232.62,  3.64,108.51, 38.49,  6.42, 26.29,.     ,.     ,  9.91,.     , 21.91, 18.96,  2.95,  8.28,  4.79,
BB,F,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,F,3,  4.28, 70.01, 99.73,138.10, 11.96, 59.72,113.14, 11.50, 24.96, 46.29, 53.86, 86.92,  9.31, 49.14,  3.93, 10.95,  0.00,  6.10,  3.19,  7.38, 96.98, 40.60,  7.70,  0.38, 19.33,  0.00,.     , 25.73,  6.42, 83.70,  3.81,  5.16,  2.92,  4.66,  1.33, 10.78,  7.20,  2.83,  5.34,  9.92,  3.75,  4.33, 38.45, 44.33, 38.68,  0.82,250.69,  9.11,123.88, 24.60,220.64, 22.53, 15.47,200.49,  7.30, 64.80, 12.57,  7.29, 21.23,  5.37,  2.41,  9.98,  1.83, 21.39, 19.91,  1.48,  6.78,  3.18,
BB,T,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,T,2,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
BB,T,3,  4.33, 91.29,121.71,157.48, 13.41, 70.45,113.36, 12.74, 44.12, 67.72, 53.44, 82.18,  8.54, 47.50,  2.89,  7.26,  0.00,  9.79,  4.37,  5.66,199.12, 72.72,  9.97,  1.15, 32.38,  1.48,.     ,.     ,.     ,.     ,  2.54,  4.33,  3.31,  4.53,  1.95,  6.25,  4.46,  2.44,  3.92, 10.43,  3.48,  3.51, 28.25, 45.80, 48.53,  0.41,217.14, 10.02,130.55, 21.20,237.64, 19.17, 15.50,216.56,  5.47, 86.66, 25.53,  6.86, 23.76,.     ,.     ,  9.95,.     , 21.65, 19.44,  2.22,  7.53,  3.99,
BC,M,1,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,.     ,
